no,timestamp,teks,teks_casefold,teks_token,teks_stopword,teks_stemming,teks_final
1,2016-12-30T06:37:56.000Z,ADIL loh utk yg punya kebijakan publik negara Ingat yg ini!!!,adil loh utk yg punya kebijakan publik negara ingat yg ini!!!,"['adil', 'loh', 'utk', 'yg', 'punya', 'kebijakan', 'publik', 'negara', 'ingat', 'yg', 'ini', '!', '!', '!']","['adil', 'loh', 'kebijakan', 'publik', 'negara', '!', '!', '!']","['adil', 'loh', 'bijak', 'publik', 'negara', '', '', '']",adil loh bijak publik negara   
2,2016-12-30T06:30:36.000Z,Tertibkan Media Online DPR Pemerintah Jangan Sporadis Apalagi Selektif Hanya kepada Media yang Berseberangan,tertibkan media online dpr pemerintah jangan sporadis apalagi selektif hanya kepada media yang berseberangan,"['tertibkan', 'media', 'online', 'dpr', 'pemerintah', 'jangan', 'sporadis', 'apalagi', 'selektif', 'hanya', 'kepada', 'media', 'yang', 'berseberangan']","['tertibkan', 'media', 'online', 'dpr', 'pemerintah', 'sporadis', 'selektif', 'media', 'berseberangan']","['tertib', 'media', 'online', 'dpr', 'perintah', 'sporadis', 'selektif', 'media', 'berangan']",tertib media online dpr perintah sporadis selektif media berangan
3,2016-12-30T04:48:35.000Z,harus dievaluasi lg kebijakan bebas visa trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI,harus dievaluasi lg kebijakan bebas visa trutama utk negara tiongkok pak!! bahaya tersembunyi martabat ri,"['harus', 'dievaluasi', 'lg', 'kebijakan', 'bebas', 'visa', 'trutama', 'utk', 'negara', 'tiongkok', 'pak', '!', '!', 'bahaya', 'tersembunyi', 'martabat', 'ri']","['dievaluasi', 'kebijakan', 'bebas', 'visa', 'trutama', 'negara', 'tiongkok', '!', '!', 'bahaya', 'tersembunyi', 'martabat', 'ri']","['evaluasi', 'bijak', 'bebas', 'visa', 'trutama', 'negara', 'tiongkok', '', '', 'bahaya', 'sembunyi', 'martabat', 'ri']",evaluasi bijak bebas visa trutama negara tiongkok   bahaya sembunyi martabat ri
4,2016-12-30T04:21:40.000Z,jangan ngambang aturan logis apa undang undang,jangan ngambang aturan logis apa undang undang,"['jangan', 'ngambang', 'aturan', 'logis', 'apa', 'undang', 'undang']","['ngambang', 'aturan', 'logis', 'undang', 'undang']","['ngambang', 'atur', 'logis', 'undang', 'undang']",ngambang atur logis undang undang
5,2016-12-30T02:36:13.000Z,Kebebasan bersuara berpendapat memang dijamin UU Namun kebebasan tersebut tdk harus kebablasan sehingga menabrak aturan aturan logis,kebebasan bersuara berpendapat memang dijamin uu namun kebebasan tersebut tdk harus kebablasan sehingga menabrak aturan aturan logis,"['kebebasan', 'bersuara', 'berpendapat', 'memang', 'dijamin', 'uu', 'namun', 'kebebasan', 'tersebut', 'tdk', 'harus', 'kebablasan', 'sehingga', 'menabrak', 'aturan', 'aturan', 'logis']","['kebebasan', 'bersuara', 'berpendapat', 'dijamin', 'uu', 'kebebasan', 'kebablasan', 'menabrak', 'aturan', 'aturan', 'logis']","['bebas', 'suara', 'dapat', 'jamin', 'uu', 'bebas', 'bablas', 'tabrak', 'atur', 'atur', 'logis']",bebas suara dapat jamin uu bebas bablas tabrak atur atur logis
6,2016-12-30T02:52:25.000Z,Anggota Komisi IX DPR Okky Asokawati Evaluasi dan Moratorium Kebijakan Bebas Visa,anggota komisi ix dpr okky asokawati evaluasi dan moratorium kebijakan bebas visa,"['anggota', 'komisi', 'ix', 'dpr', 'okky', 'asokawati', 'evaluasi', 'dan', 'moratorium', 'kebijakan', 'bebas', 'visa']","['anggota', 'komisi', 'ix', 'dpr', 'okky', 'asokawati', 'evaluasi', 'moratorium', 'kebijakan', 'bebas', 'visa']","['anggota', 'komisi', 'ix', 'dpr', 'okky', 'asokawati', 'evaluasi', 'moratorium', 'bijak', 'bebas', 'visa']",anggota komisi ix dpr okky asokawati evaluasi moratorium bijak bebas visa
7,2016-12-30T01:18:56.000Z,Anggota DPR RI Komisi II Dari Fraksi NasDem Gelar Reses di Lampura lewat Dinamika Lampung,anggota dpr ri komisi ii dari fraksi nasdem gelar reses di lampura lewat dinamika lampung,"['anggota', 'dpr', 'ri', 'komisi', 'ii', 'dari', 'fraksi', 'nasdem', 'gelar', 'reses', 'di', 'lampura', 'lewat', 'dinamika', 'lampung']","['anggota', 'dpr', 'ri', 'komisi', 'ii', 'fraksi', 'nasdem', 'gelar', 'reses', 'lampura', 'dinamika', 'lampung']","['anggota', 'dpr', 'ri', 'komisi', 'ii', 'fraksi', 'nasdem', 'gelar', 'reses', 'lampura', 'dinamika', 'lampung']",anggota dpr ri komisi ii fraksi nasdem gelar reses lampura dinamika lampung
8,2016-12-30T00:50:51.000Z,Wapres Minta Kebijakan Bebas Visa Dievaluasi csps policy,wapres minta kebijakan bebas visa dievaluasi csps policy,"['wapres', 'minta', 'kebijakan', 'bebas', 'visa', 'dievaluasi', 'csps', 'policy']","['wapres', 'kebijakan', 'bebas', 'visa', 'dievaluasi', 'csps', 'policy']","['wapres', 'bijak', 'bebas', 'visa', 'evaluasi', 'csps', 'policy']",wapres bijak bebas visa evaluasi csps policy
9,2016-12-29T16:20:02.000Z,Asal Sesuai Undang Undang Anggota DPR Ini Setuju Usul Duterte,asal sesuai undang undang anggota dpr ini setuju usul duterte,"['asal', 'sesuai', 'undang', 'undang', 'anggota', 'dpr', 'ini', 'setuju', 'usul', 'duterte']","['sesuai', 'undang', 'undang', 'anggota', 'dpr', 'setuju', 'usul', 'duterte']","['sesuai', 'undang', 'undang', 'anggota', 'dpr', 'tuju', 'usul', 'duterte']",sesuai undang undang anggota dpr tuju usul duterte
10,2016-12-29T11:52:05.000Z,Saat memberikan makanan bergizi bantuan Kemenkes RI untuk balita di bbrp wil di DIY Reses,saat memberikan makanan bergizi bantuan kemenkes ri untuk balita di bbrp wil di diy reses,"['saat', 'memberikan', 'makanan', 'bergizi', 'bantuan', 'kemenkes', 'ri', 'untuk', 'balita', 'di', 'bbrp', 'wil', 'di', 'diy', 'reses']","['makanan', 'bergizi', 'bantuan', 'kemenkes', 'ri', 'balita', 'bbrp', 'wil', 'diy', 'reses']","['makan', 'gizi', 'bantu', 'kemenkes', 'ri', 'balita', 'bbrp', 'wil', 'diy', 'reses']",makan gizi bantu kemenkes ri balita bbrp wil diy reses
