kata,skor
adil,3.0
aspirasi,1.5
baleg,0.0
bobrok,-3.5
bohong,-3.0
cegah,1.0
demo,-1.5
derita,-3.0
dpr,0.0
dprd,-0.5
dukung,2.5
dzalim,-3.5
gubris,-1.5
inklusif,2.5
janji,0.0
kebijakan,0.0
keras,-2.0
khianat,-3.8
korupsi,-4.0
koruptor,-4.0
lindung,2.0
mahal,-3.0
mosi,-2.0
oligarki,-2.8
panja,0.0
pansus,-0.5
parpol,0.0
pemerintah,-0.5
pemilu,0.0
penguasa,-2.0
pks,-0.5
rakyat,0.5
rancangan,0.0
reses,0.0
revisi,-0.8
ruu,-0.5
rugi,-2.5
sah,1.5
sejahtera,3.5
seksual,-1.5
sengsara,-3.5
setuju,2.0
sidik,-1.0
suap,-3.8
tipu,-3.2
tolak,-3.0
tunda,-1.2
uu,0.0
wakil,0.5
