kata,mean,std,raw_ratings
adil,3.0,1.0,"[3, 3, 3, 4, 3, 3, 3, 3, 2, 3]"
aspirasi,1.5,1.0,"[-1, 2, 2, 1, 0, 4, 1, 2, 2, 2]"
baleg,0.0,1.0,"[0, 0, 0, 2, 0, -1, 2, -1, 0, -2]"
bobrok,-3.5,1.0,"[-3, -2, -4, -4, -3, -4, -4, -4, -4, -3]"
bohong,-3.0,1.0,"[-2, -4, -3, -2, -3, -2, -4, -4, -2, -4]"
cegah,1.0,1.0,"[0, 1, 0, 1, 0, 0, 1, 2, 3, 2]"
demo,-1.5,1.0,"[0, -1, -1, -1, -2, -2, -3, -2, -1, -2]"
derita,-3.0,1.0,"[-4, -3, -2, -3, -2, -4, -4, -4, -4, 0]"
dpr,0.0,1.0,"[-1, 1, -1, 0, 1, 0, -1, 1, 0, 0]"
dprd,-0.5,1.0,"[-1, 2, -1, 0, -1, -2, 0, 0, 0, -2]"
dukung,2.5,1.0,"[2, 2, 3, 2, 1, 4, 2, 3, 2, 4]"
dzalim,-3.5,1.0,"[-2, -4, -4, -4, -4, -3, -4, -3, -4, -3]"
gubris,-1.5,1.0,"[-1, -3, 0, -1, -3, -2, -2, -1, 0, -2]"
inklusif,2.5,1.0,"[2, 1, 2, 3, 3, 3, 2, 4, 2, 3]"
janji,0.0,1.0,"[1, 0, 1, -1, 0, 0, 0, 1, -1, -1]"
kebijakan,0.0,1.0,"[2, -1, 0, -1, -1, 0, 1, 2, -1, -1]"
keras,-2.0,1.0,"[-1, -1, -2, -2, -3, -1, -4, -2, -2, -2]"
khianat,-3.8,1.0,"[-3, -4, -3, -4, -4, -4, -4, -4, -4, -4]"
korupsi,-4.0,1.0,"[-4, -4, -4, -4, -4, -4, -4, -4, -4, -4]"
koruptor,-4.0,1.0,"[-4, -4, -4, -4, -4, -4, -4, -4, -4, -4]"
lindung,2.0,1.0,"[0, 3, 1, 4, 3, 2, 2, 2, 2, 1]"
mahal,-3.0,1.0,"[-3, -4, -4, -2, -1, -1, -4, -4, -3, -4]"
mosi,-2.0,1.0,"[-2, -2, -3, -1, -2, -2, -2, -4, -1, -1]"
oligarki,-2.8,1.0,"[-1, -2, -3, -3, -3, -2, -3, -4, -4, -3]"
panja,0.0,1.0,"[1, 0, 0, 0, 0, 1, 1, -1, -2, 0]"
pansus,-0.5,1.0,"[-2, 1, -1, -2, -1, -1, 1, 0, 0, 0]"
parpol,0.0,1.0,"[0, -1, 0, 0, 0, 0, 1, -1, 0, 1]"
pemerintah,-0.5,1.0,"[0, 0, 0, -1, 1, -2, -2, 0, 0, -1]"
pemilu,0.0,1.0,"[-1, 0, 2, -2, 0, 1, 0, -2, 0, 2]"
penguasa,-2.0,1.0,"[-2, -2, 0, -2, -2, -2, -1, -2, -3, -4]"
pks,-0.5,1.0,"[-4, -1, -2, 0, -1, 2, 1, -1, 1, 0]"
rakyat,0.5,1.0,"[0, 1, 0, 2, 1, 0, 0, -1, 1, 1]"
rancangan,0.0,1.0,"[-2, 2, 0, -1, 0, -2, 2, -1, 3, -1]"
reses,0.0,1.0,"[1, 1, 0, 0, 0, 0, 0, -2, 0, 0]"
revisi,-0.8,1.0,"[0, -1, -2, 1, -1, -2, 2, -1, -1, -3]"
ruu,-0.5,1.0,"[1, -2, 0, -1, 0, 0, -1, 0, -1, -1]"
rugi,-2.5,1.0,"[-2, -3, -1, -2, -4, -3, -3, -4, -2, -1]"
sah,1.5,1.0,"[1, 2, 1, 1, 2, 1, 2, 1, 3, 1]"
sejahtera,3.5,1.0,"[3, 4, 4, 4, 4, 4, 4, 3, 3, 2]"
seksual,-1.5,1.0,"[-2, -1, -1, -1, -1, -3, -2, -4, 0, 0]"
sengsara,-3.5,1.0,"[-4, -4, -1, -4, -4, -4, -3, -4, -3, -4]"
setuju,2.0,1.0,"[2, 2, 1, 3, 2, 2, 3, 3, 0, 2]"
sidik,-1.0,1.0,"[-1, 0, -1, 1, -2, -3, 0, -1, -3, 0]"
suap,-3.8,1.0,"[-4, -4, -4, -4, -3, -4, -3, -4, -4, -4]"
tipu,-3.2,1.0,"[-3, -3, -3, -4, -4, -4, -4, -2, -4, -1]"
tolak,-3.0,1.0,"[-2, -3, -3, -3, -3, -4, -2, -4, -3, -3]"
tunda,-1.2,1.0,"[-1, 1, 0, -1, -2, -1, -2, -2, -2, -2]"
uu,0.0,1.0,"[1, -1, 1, -1, -1, 0, 1, 0, -1, 1]"
wakil,0.5,1.0,"[0, 0, 1, 1, 2, 0, -1, 1, 0, 1]"
