no,timestamp,teks,teks_processed,tokens,matched_words,unmatched_words,removed_words
1,2016-12-30T06:37:56.000Z,ADIL loh utk yg punya kebijakan publik negara Ingat yg ini!!!,ADIL loh untuk yang punya kebijakan publik negara ingat yang ini ! !,"['ADIL', 'loh', 'untuk', 'yang', 'punya', 'kebijakan', 'publik', 'negara', 'ingat', 'yang', 'ini', '!', '!']","['ADIL', 'punya', 'kebijakan', 'ingat']","['untuk', 'yang', 'yang', 'ini']","['loh', 'publik', 'negara', '!', '!']"
2,2016-12-30T06:30:36.000Z,Tertibkan Media Online DPR Pemerintah Jangan Sporadis Apalagi Selektif Hanya kepada Media yang Berseberangan,tertib media online DPR pemerintah jangan sporadis apalagi selektif hanya kepada media yang bersebrangan,"['tertib', 'media', 'online', 'DPR', 'pemerintah', 'jangan', 'sporadis', 'apalagi', 'selektif', 'hanya', 'kepada', 'media', 'yang', 'bersebrangan']","['tertib', 'DPR', 'pemerintah', 'jangan', 'sporadis', 'selektif', 'hanya']",['yang'],"['media', 'online', 'apalagi', 'kepada', 'media', 'bersebrangan']"
3,2016-12-30T04:48:35.000Z,harus dievaluasi lg kebijakan bebas visa trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI,harus evaluasi lagi kebijakan bebas visa utama untuk negara tiongkok pak ! ! bahaya sembunyi martabat RI,"['harus', 'evaluasi', 'lagi', 'kebijakan', 'bebas', 'visa', 'utama', 'untuk', 'negara', 'tiongkok', 'pak', '!', '!', 'bahaya', 'sembunyi', 'martabat', 'RI']","['harus', 'lagi', 'kebijakan', 'bebas', 'bahaya', 'martabat']",['untuk'],"['evaluasi', 'visa', 'utama', 'negara', 'tiongkok', 'pak', '!', '!', 'sembunyi', 'RI']"
4,2016-12-30T04:21:40.000Z,jangan ngambang aturan logis apa undang undang,jangan ngambang pengaturan logis apa undang undang,"['jangan', 'ngambang', 'pengaturan', 'logis', 'apa', 'undang', 'undang']","['jangan', 'undang', 'undang']",['apa'],"['ngambang', 'pengaturan', 'logis']"
5,2016-12-30T02:36:13.000Z,Kebebasan bersuara berpendapat memang dijamin UU Namun kebebasan tersebut tdk harus kebablasan sehingga menabrak aturan aturan logis,bebas suara dapat memang jamin UU tetapi bebas sebut tidak harus bablas sehingga tabrak pengaturan pengaturan logis,"['bebas', 'suara', 'dapat', 'memang', 'jamin', 'UU', 'tetapi', 'bebas', 'sebut', 'tidak', 'harus', 'bablas', 'sehingga', 'tabrak', 'pengaturan', 'pengaturan', 'logis']","['bebas', 'suara', 'dapat', 'memang', 'jamin', 'UU', 'bebas', 'tidak', 'harus', 'bablas', 'tabrak']",['tetapi'],"['sebut', 'sehingga', 'pengaturan', 'pengaturan', 'logis']"
6,2016-12-30T02:52:25.000Z,Anggota Komisi IX DPR Okky Asokawati Evaluasi dan Moratorium Kebijakan Bebas Visa,anggota komisi IX DPR okky asokawati evaluasi dan moratorium kebijakan bebas visa,"['anggota', 'komisi', 'IX', 'DPR', 'okky', 'asokawati', 'evaluasi', 'dan', 'moratorium', 'kebijakan', 'bebas', 'visa']","['anggota', 'komisi', 'DPR', 'moratorium', 'kebijakan', 'bebas']",['dan'],"['IX', 'okky', 'asokawati', 'evaluasi', 'visa']"
7,2016-12-30T01:18:56.000Z,Anggota DPR RI Komisi II Dari Fraksi NasDem Gelar Reses di Lampura lewat Dinamika Lampung,anggota DPR RI komisi II dari partai nasdem gelar reses di lampura lewat dinamika lampung,"['anggota', 'DPR', 'RI', 'komisi', 'II', 'dari', 'partai', 'nasdem', 'gelar', 'reses', 'di', 'lampura', 'lewat', 'dinamika', 'lampung']","['anggota', 'DPR', 'komisi', 'gelar', 'reses', 'lewat', 'dinamika']","['dari', 'di']","['RI', 'II', 'partai', 'nasdem', 'lampura', 'lampung']"
8,2016-12-30T00:50:51.000Z,Wapres Minta Kebijakan Bebas Visa Dievaluasi csps policy,wapres minta kebijakan bebas visa evaluasi csps policy,"['wapres', 'minta', 'kebijakan', 'bebas', 'visa', 'evaluasi', 'csps', 'policy']","['minta', 'kebijakan', 'bebas']",[],"['wapres', 'visa', 'evaluasi', 'csps', 'policy']"
9,2016-12-29T16:20:02.000Z,Asal Sesuai Undang Undang Anggota DPR Ini Setuju Usul Duterte,asal sesuai undang undang anggota DPR ini tuju usul duterte,"['asal', 'sesuai', 'undang', 'undang', 'anggota', 'DPR', 'ini', 'tuju', 'usul', 'duterte']","['sesuai', 'undang', 'undang', 'anggota', 'DPR', 'tuju', 'usul']",['ini'],"['asal', 'duterte']"
10,2016-12-29T11:52:05.000Z,Saat memberikan makanan bergizi bantuan Kemenkes RI untuk balita di bbrp wil di DIY Reses,saat beri makanan gizi bantu kemenkes RI untuk balita di beberapa wil di DIY reses,"['saat', 'beri', 'makanan', 'gizi', 'bantu', 'kemenkes', 'RI', 'untuk', 'balita', 'di', 'beberapa', 'wil', 'di', 'DIY', 'reses']","['beri', 'makanan', 'bantu', 'reses']","['untuk', 'di', 'di']","['saat', 'gizi', 'kemenkes', 'RI', 'balita', 'beberapa', 'wil', 'DIY']"
