timestamp,text,text_clean
2016-12-30T06:37:56.000Z,ADIL loh utk yg punya kebijakan publik & negara Ingat yg ini!!! @jokowi @ZUL_Hasan @DPR_RI @kemkominfo @rudiantara_id @sn_setyanovanto,ADIL loh utk yg punya kebijakan publik negara Ingat yg ini!!!
2016-12-30T06:30:36.000Z,"Tertibkan Media Online, DPR: Pemerintah Jangan Sporadis, Apalagi Selektif Hanya kepada Media yang Berseberangan http://dlvr.it/N0GcNs",Tertibkan Media Online DPR Pemerintah Jangan Sporadis Apalagi Selektif Hanya kepada Media yang Berseberangan
2016-12-30T04:48:35.000Z,"@Portal_Kemlu_RI @DPR_RI @jokowi harus dievaluasi lg kebijakan bebas visa, trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI",harus dievaluasi lg kebijakan bebas visa trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI
2016-12-30T04:21:40.000Z,"jangan ngambang, aturan logis apa undang-undang @DPR_RI",jangan ngambang aturan logis apa undang undang
2016-12-30T02:36:13.000Z,"6. Kebebasan bersuara & berpendapat memang dijamin UU. Namun kebebasan tersebut tdk harus kebablasan, sehingga menabrak aturan-aturan logis.",Kebebasan bersuara berpendapat memang dijamin UU Namun kebebasan tersebut tdk harus kebablasan sehingga menabrak aturan aturan logis
2016-12-30T02:52:25.000Z,Anggota Komisi IX DPR Okky Asokawati: Evaluasi dan Moratorium Kebijakan Bebas Visa http://dpr.go.id/berita/detail/id/15103…,Anggota Komisi IX DPR Okky Asokawati Evaluasi dan Moratorium Kebijakan Bebas Visa
2016-12-30T01:18:56.000Z,Anggota DPR-RI Komisi II Dari Fraksi NasDem Gelar Reses di Lampura http://cahyamedia.co.id/anggota-dpr-ri-komisi-ii-dari-fraksi-nasdem-gelar-reses-di-lampura/… lewat @Portal Dinamika Lampung,Anggota DPR RI Komisi II Dari Fraksi NasDem Gelar Reses di Lampura lewat Dinamika Lampung
2016-12-30T00:50:51.000Z,Wapres Minta Kebijakan Bebas Visa Dievaluasi http://cnnindonesia.com/gaya-hidup/20161229094851-269-182828/wapres-minta-kebijakan-bebas-visa-dievaluasi/… #csps #policy @pak_jk @DPR_RI @Portal_Kemlu_RI @imigrasiRI,Wapres Minta Kebijakan Bebas Visa Dievaluasi csps policy
2016-12-29T16:20:02.000Z,"Asal Sesuai Undang-Undang, Anggota DPR Ini Setuju Usul Duterte http://bit.ly/2hsirdt",Asal Sesuai Undang Undang Anggota DPR Ini Setuju Usul Duterte
2016-12-29T11:52:05.000Z,Saat memberikan makanan bergizi bantuan Kemenkes RI untuk balita di bbrp wil di DIY. #Reses @SBYudhoyono @PDemokrat @DPR_RI @FPD_DPR,Saat memberikan makanan bergizi bantuan Kemenkes RI untuk balita di bbrp wil di DIY Reses
2016-12-29T11:42:17.000Z,Saat bertemu Kel Ternak Gemah Ripah dan KUB Sido Makmur di Kulon Progo yg trm UPPO Rp200 jt #Reses @SBYudhoyono @PDemokrat @DPR_RI @FPD_DPR,Saat bertemu Kel Ternak Gemah Ripah dan KUB Sido Makmur di Kulon Progo yg trm UPPO Rp jt Reses
2016-12-29T11:35:55.000Z,Turba ke Masjid Baiturrochman Kulon Progo yg Pernah Terima Bantuan PKBL BRI Rp 60 Juta #reses @SBYudhoyono @PDemokrat @DPR_RI @FPD_DPR,Turba ke Masjid Baiturrochman Kulon Progo yg Pernah Terima Bantuan PKBL BRI Rp Juta reses
2016-12-29T08:51:26.000Z,"@wartapolitik, kebijakan yang salah mengawasi.",kebijakan yang salah mengawasi
2016-12-29T07:01:33.000Z,"Sidang Rapat Paripurna PAW, Tiga Anggota DPR Aceh Diganti https://goo.gl/0xgGOK",Sidang Rapat Paripurna PAW Tiga Anggota DPR Aceh Diganti
2016-12-29T03:36:27.000Z,Butuh kebijakan konkret untuk mengeksplorasi #EnergiPanasBumi untuk kebutuhan listrik nasional yang semakin meningkat.,Butuh kebijakan konkret untuk mengeksplorasi EnergiPanasBumi untuk kebutuhan listrik nasional yang semakin meningkat
2016-12-29T03:14:38.000Z,"@sandiuno Mr. Sandi,CA mohon bantuan utk tanda tangani Petisi Ke Ketua dan Wkl Ketua DPR...Salam Profesional ,https://change.org/p/ketua-dan-para-wakil-ketua-dpr-ri-perlunya-ruu-pelaporan-keuangan-untuk-dunia-bisnis-usaha-di-indonesia…?",Mr Sandi CA mohon bantuan utk tanda tangani Petisi Ke Ketua dan Wkl Ketua DPR Salam Profesional
2016-12-29T00:49:57.000Z,"Pagi all, tiada yang lebih baik dari silaturrahim dengan konstituen. Tetap menyambangi rakyat. Edisi Reses @BeritaPKB @cakiminpkb @DPR_RI",Pagi all tiada yang lebih baik dari silaturrahim dengan konstituen Tetap menyambangi rakyat Edisi Reses
2016-12-28T12:33:03.000Z,"Anggota Komisi II DPR RI, Hetifah Gelar Reses di Kabupaten Berau http://beraunews.com/politik-pemerintahan/pemerintahan/2191-anggota-komisi-ii-dpr-ri-hetifah-gelar-reses-di-kabupaten-berau…",Anggota Komisi II DPR RI Hetifah Gelar Reses di Kabupaten Berau
2016-12-28T11:56:37.000Z,"Reses Anggota DPR RI Viktor Bungtilu Laiskodat di Desa Merbaun (Tofa) Kec. Amarasi Barat, Kab. Kupang - NTT",Reses Anggota DPR RI Viktor Bungtilu Laiskodat di Desa Merbaun Tofa Kec Amarasi Barat Kab Kupang NTT
2016-12-28T05:26:34.000Z,Ketua Panja RUU Revisi ITE @DPR_RI TB Hasanuddin sampaikan muatan materi UU 19/2016 Perubahan UU ITE ~ @DitjenAptika @kemkominfo,Ketua Panja RUU Revisi ITE TB Hasanuddin sampaikan muatan materi UU Perubahan UU ITE
2016-12-28T03:55:30.000Z,Gelar Peringatan Maulid Nabi dan Reses Anggota DPR RI Komisi VIII - klik http://bit.ly/2ipn8qj,Gelar Peringatan Maulid Nabi dan Reses Anggota DPR RI Komisi VIII klik
2016-12-27T16:01:19.000Z,"Reses di Sinjai, (DPR) RI Pusat Serap Aspirasi Warga Desa Saukang http://dlvr.it/MzHHQ0",Reses di Sinjai DPR RI Pusat Serap Aspirasi Warga Desa Saukang
2016-12-27T15:50:22.000Z,"Reses di Sinjai, (DPR) RI Pusat Serap Aspirasi Warga Desa Saukang http://titahtimur.com/2016/12/27/reses-di-sinjai-dpr-ri-pusat-serap-aspirasi-warga-desa-saukang/… via @TitahTimur",Reses di Sinjai DPR RI Pusat Serap Aspirasi Warga Desa Saukang via
2016-12-27T14:37:18.000Z,Anggota DPR-RI EE Mangindaan Manfaatkan Massa Reses di Desa Esandom Minahasa Tenggara http://dlvr.it/MzFvYz,Anggota DPR RI EE Mangindaan Manfaatkan Massa Reses di Desa Esandom Minahasa Tenggara
2016-12-27T07:13:56.000Z,"Demikian ulasan singkat tentang Masa Reses DPR, semoga bermanfaat bagi kita semua. #ResesDPR",Demikian ulasan singkat tentang Masa Reses DPR semoga bermanfaat bagi kita semua ResesDPR
2016-12-27T07:08:59.000Z,Masa Reses ini diharapkan dapat dimanfaatkan dengan maksimal oleh masyarakat untuk menyampaikan aspirasi pembangunan daerahnya. #ResesDPR,Masa Reses ini diharapkan dapat dimanfaatkan dengan maksimal oleh masyarakat untuk menyampaikan aspirasi pembangunan daerahnya ResesDPR
2016-12-27T07:07:13.000Z,"Yg perlu diingat & kita pahami bersama bahwa DPR bukanlah eksekutor,jadi temuan selama Masa Reses ditindaklanjuti sesuai mekanisme #ResesDPR",Yg perlu diingat kita pahami bersama bahwa DPR bukanlah eksekutor jadi temuan selama Masa Reses ditindaklanjuti sesuai mekanisme ResesDPR
2016-12-27T07:06:25.000Z,"Berdasarkan Tatib DPR Pasal 211 ayat 6, hasil Reses tersebut dilaporkan secara tertulis oleh Anggota kepada Fraksi masing-masing. #ResesDPR",Berdasarkan Tatib DPR Pasal ayat hasil Reses tersebut dilaporkan secara tertulis oleh Anggota kepada Fraksi masing masing ResesDPR
2016-12-27T07:06:11.000Z,Kegiatan reses para Anggota DPR dilakukan secara transparan dan adanya pertanggungjawaban yang jelas. #ResesDPR,Kegiatan reses para Anggota DPR dilakukan secara transparan dan adanya pertanggungjawaban yang jelas ResesDPR
2016-12-27T07:05:57.000Z,"Pada Masa Persidangan, aspirasi & masukan masyarakat selama Masa Reses akan disampaikan & dibahas dg pemerintah saat Rapat Kerja. #ResesDPR",Pada Masa Persidangan aspirasi masukan masyarakat selama Masa Reses akan disampaikan dibahas dg pemerintah saat Rapat Kerja ResesDPR
2016-12-27T07:05:31.000Z,"Pada Masa Reses, DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR. #ResesDPR",Pada Masa Reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR ResesDPR
2016-12-27T07:05:16.000Z,Masa Reses sendiri tertuang dalam UU MD3 No.17/2014 dan Peraturan DPR No.1/2014 tentang Tata Tertib DPR. #ResesDPR,Masa Reses sendiri tertuang dalam UU MD No dan Peraturan DPR No tentang Tata Tertib DPR ResesDPR
2016-12-27T07:05:01.000Z,"Masa Reses bukan berarti para Anggota DPR tidak bekerja, namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya. #ResesDPR",Masa Reses bukan berarti para Anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya ResesDPR
2016-12-27T07:04:08.000Z,"Dalam Masa Reses, Anggota DPR akan melakukan kunjungan ke Dapil maupun kunjungan ke daerah lainnya dengan Alat Kelengkapan Dewan. #ResesDPR",Dalam Masa Reses Anggota DPR akan melakukan kunjungan ke Dapil maupun kunjungan ke daerah lainnya dengan Alat Kelengkapan Dewan ResesDPR
2016-12-27T07:02:47.000Z,"Masa Reses adalah masa dimana Anggota DPR melakukan kegiatan di luar Masa Sidang, terutama di luar gedung DPR. #ResesDPR",Masa Reses adalah masa dimana Anggota DPR melakukan kegiatan di luar Masa Sidang terutama di luar gedung DPR ResesDPR
2016-12-27T07:00:49.000Z,Masa Reses DPR Masa Persidangan II Tahun Sidang 2016-2017 akan berlangsung dari tanggal 16 Desember 2016 hingga 9 Januari 2017. #ResesDPR,Masa Reses DPR Masa Persidangan II Tahun Sidang akan berlangsung dari tanggal Desember hingga Januari ResesDPR
2016-12-27T06:59:33.000Z,"Selamat sore, Sahabat Parle. Saat ini DPR RI sedang memasuki Masa Reses Masa Persidangan II Tahun Sidang 2016-2017. #ResesDPR",Selamat sore Sahabat Parle Saat ini DPR RI sedang memasuki Masa Reses Masa Persidangan II Tahun Sidang ResesDPR
2016-12-27T03:09:09.000Z,"Reses di Sinjai, Anggota DPR RI Nasyid Umar 'Jemput' Keluhan Warga http://dlvr.it/Mz4DB6",Reses di Sinjai Anggota DPR RI Nasyid Umar Jemput Keluhan Warga
2016-12-27T02:16:01.000Z,"Kabarnya, memanfaatkan waktu reses ini, wakil rakyat daerah pemilihan Nusa Tenggara Timur (NTT) itu memboyong... http://fb.me/WgH55XeM",Kabarnya memanfaatkan waktu reses ini wakil rakyat daerah pemilihan Nusa Tenggara Timur NTT itu memboyong
2016-12-26T10:35:17.000Z,"KUNINGAN, (KAPOL).- Reses Anggota DPR RI bisa dilakukan dengan berbagai cara. Namun bagi KH Asep Maosul Affandi... http://fb.me/4Kwdz4x1v",KUNINGAN KAPOL Reses Anggota DPR RI bisa dilakukan dengan berbagai cara Namun bagi KH Asep Maosul Affandi
2016-12-26T08:41:36.000Z,CC @jokowi >> Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut-http://republika.co.id/r/oimsf3330,CC Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut
2016-12-26T05:11:02.000Z,11. Inilah 4 indikator kesuksesan #reses Anggota DPR RI.,Inilah indikator kesuksesan reses Anggota DPR RI
2016-12-26T04:16:32.000Z,"4. Ada 8 misi Anggota DPR ketika masa #reses. Pertama, untuk membangun akuntabilitas politik. cc: @danar00",Ada misi Anggota DPR ketika masa reses Pertama untuk membangun akuntabilitas politik cc
2016-12-26T03:42:57.000Z,"1. Siang teman-teman. Tgl 16 Des 2016 - 9 Jan 2017, anggota @DPR_RI melaksanakan #reses. Apa yg perlu kt ketahui sbg konstituen? cc: @CTuah",Siang teman teman Tgl Des Jan anggota melaksanakan reses Apa yg perlu kt ketahui sbg konstituen? cc
2016-12-26T03:29:55.000Z,"@DPR_RI Akan Bentuk Pansus Pekerja Asing Ilegal http://dlvr.it/MyV66s SEGERA Tinjau Ulang Kebijakan Bebas Visa dengan RRC, Pak @jokowi.",Akan Bentuk Pansus Pekerja Asing Ilegal SEGERA Tinjau Ulang Kebijakan Bebas Visa dengan RRC Pak
2016-12-26T01:01:22.000Z,"Terkait Kegiatan Reses Anggota DPR RI, KPU dan Panwaslih Diuji Profesionalismenya http://baliberkarya.com/index.php/read/2016/12/25/201612250014/Terkait-Kegiatan-Reses-Anggota-DPR-RI-KPU-dan-Panwaslih-Diuji-Profesionalismenya.html#.WGBruROc0Eo.twitter…",Terkait Kegiatan Reses Anggota DPR RI KPU dan Panwaslih Diuji Profesionalismenya
2016-12-25T15:07:03.000Z,Reses di Bone Anggota DPR RI Akbar Faisal Sampaikan ini http://dlvr.it/MyZzVg,Reses di Bone Anggota DPR RI Akbar Faisal Sampaikan ini
