kata,mean,std,raw_ratings
fair,3.0,1.0,"[3, 3, 3, 4, 3, 3, 3, 3, 2, 3]"
aspiration,1.5,1.0,"[-1, 2, 2, 1, 0, 4, 1, 2, 2, 2]"
legislation committee,0.0,1.0,"[0, 0, 0, 2, 0, -1, 2, -1, 0, -2]"
dilapidated,-3.5,1.0,"[-3, -2, -4, -4, -3, -4, -4, -4, -4, -3]"
lie,-3.0,1.0,"[-2, -4, -3, -2, -3, -2, -4, -4, -2, -4]"
prevent,1.0,1.0,"[0, 1, 0, 1, 0, 0, 1, 2, 3, 2]"
demonstration,-1.5,1.0,"[0, -1, -1, -1, -2, -2, -3, -2, -1, -2]"
suffering,-3.0,1.0,"[-4, -3, -2, -3, -2, -4, -4, -4, -4, 0]"
house of representatives,0.0,1.0,"[-1, 1, -1, 0, 1, 0, -1, 1, 0, 0]"
regional council,-0.5,1.0,"[-1, 2, -1, 0, -1, -2, 0, 0, 0, -2]"
support,2.5,1.0,"[2, 2, 3, 2, 1, 4, 2, 3, 2, 4]"
tyrannical,-3.5,1.0,"[-2, -4, -4, -4, -4, -3, -4, -3, -4, -3]"
ignore,-1.5,1.0,"[-1, -3, 0, -1, -3, -2, -2, -1, 0, -2]"
inclusive,2.5,1.0,"[2, 1, 2, 3, 3, 3, 2, 4, 2, 3]"
promise,0.0,1.0,"[1, 0, 1, -1, 0, 0, 0, 1, -1, -1]"
policy,0.0,1.0,"[2, -1, 0, -1, -1, 0, 1, 2, -1, -1]"
harsh,-2.0,1.0,"[-1, -1, -2, -2, -3, -1, -4, -2, -2, -2]"
betray,-3.8,1.0,"[-3, -4, -3, -4, -4, -4, -4, -4, -4, -4]"
corruption,-4.0,1.0,"[-4, -4, -4, -4, -4, -4, -4, -4, -4, -4]"
corruptor,-4.0,1.0,"[-4, -4, -4, -4, -4, -4, -4, -4, -4, -4]"
protect,2.0,1.0,"[0, 3, 1, 4, 3, 2, 2, 2, 2, 1]"
expensive,-3.0,1.0,"[-3, -4, -4, -2, -1, -1, -4, -4, -3, -4]"
motion,-2.0,1.0,"[-2, -2, -3, -1, -2, -2, -2, -4, -1, -1]"
oligarchy,-2.8,1.0,"[-1, -2, -3, -3, -3, -2, -3, -4, -4, -3]"
working committee,0.0,1.0,"[1, 0, 0, 0, 0, 1, 1, -1, -2, 0]"
special committee,-0.5,1.0,"[-2, 1, -1, -2, -1, -1, 1, 0, 0, 0]"
political party,0.0,1.0,"[0, -1, 0, 0, 0, 0, 1, -1, 0, 1]"
government,-0.5,1.0,"[0, 0, 0, -1, 1, -2, -2, 0, 0, -1]"
election,0.0,1.0,"[-1, 0, 2, -2, 0, 1, 0, -2, 0, 2]"
ruler,-2.0,1.0,"[-2, -2, 0, -2, -2, -2, -1, -2, -3, -4]"
pks,-0.5,1.0,"[-4, -1, -2, 0, -1, 2, 1, -1, 1, 0]"
people,0.5,1.0,"[0, 1, 0, 2, 1, 0, 0, -1, 1, 1]"
draft,0.0,1.0,"[-2, 2, 0, -1, 0, -2, 2, -1, 3, -1]"
recess,0.0,1.0,"[1, 1, 0, 0, 0, 0, 0, -2, 0, 0]"
revision,-0.8,1.0,"[0, -1, -2, 1, -1, -2, 2, -1, -1, -3]"
bill,-0.5,1.0,"[1, -2, 0, -1, 0, 0, -1, 0, -1, -1]"
loss,-2.5,1.0,"[-2, -3, -1, -2, -4, -3, -3, -4, -2, -1]"
legal,1.5,1.0,"[1, 2, 1, 1, 2, 1, 2, 1, 3, 1]"
prosperous,3.5,1.0,"[3, 4, 4, 4, 4, 4, 4, 3, 3, 2]"
sexual,-1.5,1.0,"[-2, -1, -1, -1, -1, -3, -2, -4, 0, 0]"
misery,-3.5,1.0,"[-4, -4, -1, -4, -4, -4, -3, -4, -3, -4]"
agree,2.0,1.0,"[2, 2, 1, 3, 2, 2, 3, 3, 0, 2]"
investigate,-1.0,1.0,"[-1, 0, -1, 1, -2, -3, 0, -1, -3, 0]"
bribe,-3.8,1.0,"[-4, -4, -4, -4, -3, -4, -3, -4, -4, -4]"
cheat,-3.2,1.0,"[-3, -3, -3, -4, -4, -4, -4, -2, -4, -1]"
reject,-3.0,1.0,"[-2, -3, -3, -3, -3, -4, -2, -4, -3, -3]"
postpone,-1.2,1.0,"[-1, 1, 0, -1, -2, -1, -2, -2, -2, -2]"
law,0.0,1.0,"[1, -1, 1, -1, -1, 0, 1, 0, -1, 1]"
representative,0.5,1.0,"[0, 0, 1, 1, 2, 0, -1, 1, 0, 1]"
