kata,mean,std,raw_ratings
hai,2.4,1.0,"[3, 2, 2, 4, 2, 2, 3, 2, 1, 3]"
merekam,1.6,1.0,"[-1, 2, 2, 1, 0, 4, 2, 2, 2, 2]"
ekstensif,2.4,1.0,"[3, 2, 3, 4, 2, 1, 4, 1, 4, 0]"
paripurna,0.8,1.0,"[1, 3, 1, -1, 3, 1, -1, 0, 0, 1]"
detail,1.6,1.0,"[2, 0, 2, 3, 2, 2, 1, 1, 3, 0]"
pernik,2.4,1.0,"[1, 3, 2, 3, 1, 2, 2, 3, 4, 3]"
belas,1.6,1.0,"[3, 1, 0, 2, 2, 2, 2, 2, 0, 2]"
welas,3.2,1.0,"[4, 3, 3, 4, 3, 3, 4, 3, 1, 4]"
kabung,0.8,1.0,"[0, 1, 1, 2, 1, 0, 0, 2, 2, -1]"
rahayu,3.2,1.0,"[3, 4, 3, 2, 4, 4, 4, 2, 4, 2]"
maaf,1.6,1.0,"[2, 4, 1, 1, 2, 1, 0, 2, 1, 2]"
hello,1.6,1.0,"[1, 3, 1, 1, 2, 0, 2, 3, 1, 2]"
promo,2.4,1.0,"[3, 3, 3, 2, 3, 4, 1, 3, 1, 1]"
terimakasih,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
cover,2.4,1.0,"[4, 3, 1, 2, 1, 4, 2, 2, 2, 3]"
mohon,1.6,1.0,"[1, 1, 2, 1, 2, 2, 1, 1, 3, 2]"
mengawal,1.6,1.0,"[1, 2, 1, 1, 2, 1, 3, 2, 2, 1]"
statistik,0.8,1.0,"[1, 1, -1, 1, 0, 2, 1, 1, 0, 2]"
keluangan,2.4,1.0,"[2, 2, 4, 2, 2, 2, 2, 3, 2, 3]"
jalan terbuka,2.4,1.0,"[3, 4, 1, 4, 1, 3, 2, 2, 2, 2]"
banyaknya,2.4,1.0,"[2, 2, 4, 1, 3, 3, 2, 2, 3, 2]"
lebar,2.4,1.0,"[3, 2, 2, 2, 2, 3, 2, 2, 3, 3]"
bentang,0.8,1.0,"[3, 1, 0, 0, 1, -1, 1, 1, 2, 0]"
hendaknya,0.8,1.0,"[0, 1, 1, 2, 1, -1, 3, 2, -1, 0]"
silahkan,2.4,1.0,"[2, 2, 3, 3, 3, 2, 2, 2, 3, 2]"
semboyan,1.6,1.0,"[2, 2, 0, 0, 1, 1, 2, 3, 3, 2]"
ditunggu,1.6,1.0,"[3, 2, 2, 2, 0, 0, 1, 2, 2, 2]"
akses,1.6,1.0,"[1, 1, 4, 1, 1, 2, 1, 1, 3, 1]"
penerangan,1.6,1.0,"[3, 0, 1, 2, 4, 0, 2, 3, 1, 0]"
hi,0.8,1.0,"[2, -1, 0, 0, 1, 3, 0, 1, 1, 1]"
dibantu,1.6,1.0,"[1, 1, 1, 2, 2, 1, 3, 1, 3, 1]"
makasih,3.2,1.0,"[3, 3, 1, 4, 4, 4, 3, 2, 4, 4]"
halo,0.8,1.0,"[1, 1, 0, 0, 0, 3, -1, 3, -1, 2]"
thanks,2.4,1.0,"[1, 4, 2, 3, 3, 1, 2, 2, 4, 2]"
pengembangan,2.4,1.0,"[4, 3, 2, 4, 2, 1, 4, 2, 2, 0]"
diva,1.6,1.0,"[3, -1, 2, 1, 2, 3, 2, 2, 1, 1]"
punya,2.4,1.0,"[2, 2, 4, 3, 1, 2, 2, 1, 3, 4]"
tidak segan,1.6,1.0,"[1, 2, 1, 1, 2, 1, 2, 1, 3, 2]"
detailnya,0.8,1.0,"[0, 0, 1, 1, 2, 2, 2, 0, 0, 0]"
tak segan,1.6,1.0,"[1, 2, 2, 2, 2, 0, 1, -1, 3, 4]"
aktivasi,1.6,1.0,"[1, 3, 0, 1, 2, 2, 2, 3, 1, 1]"
asih,2.4,1.0,"[3, 0, 1, 2, 3, 3, 4, 2, 3, 3]"
kasih sayang,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
kekaguman,3.2,1.0,"[4, 3, 1, 4, 4, 3, 4, 4, 1, 4]"
kehangatan,3.2,1.0,"[3, 3, 3, 3, 4, 4, 4, 2, 2, 4]"
afeksi,1.6,1.0,"[1, 1, 3, 1, 0, 2, 3, 0, 4, 1]"
renjana,1.6,1.0,"[2, 3, 1, 0, 1, 3, 1, 1, 2, 2]"
amor,1.6,1.0,"[1, 2, 1, 1, 2, 2, 2, 2, 1, 2]"
cinta kasih,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
tresna,1.6,1.0,"[3, 1, 1, 0, 2, 3, 1, 2, 1, 2]"
filantropi,1.6,1.0,"[1, 1, 2, 3, 2, 2, 3, 0, 1, 1]"
cintrong,1.6,1.0,"[1, 2, 2, 2, 0, 1, 4, -1, 2, 3]"
suasana (hati),0.8,1.0,"[-1, 0, -1, 2, 2, 2, 0, 1, 1, 2]"
dinamika,2.4,1.0,"[3, 4, 1, 3, 2, 3, 3, 0, 2, 3]"
tuhan,2.4,1.0,"[3, 3, 3, 3, 3, 2, 2, 1, 3, 1]"
merespon,2.4,1.0,"[4, 2, 3, 2, 1, 3, 1, 1, 3, 4]"
makmur,3.2,1.0,"[3, 3, 3, 4, 3, 3, 4, 3, 3, 3]"
suka cita,3.2,1.0,"[3, 3, 4, 3, 4, 2, 3, 4, 2, 4]"
pengguna,0.8,1.0,"[2, 1, 1, -1, 1, 1, 0, 2, 0, 1]"
tunggu,0.8,1.0,"[2, 1, 0, 1, 0, 1, 0, 0, 1, 2]"
lotre,1.6,1.0,"[2, 0, 2, 3, 1, 1, 2, 3, 1, 1]"
nggak,0.8,1.0,"[1, -1, 1, 3, 1, -1, 0, 1, 1, 2]"
kupon,2.4,1.0,"[1, 2, 3, 2, 3, 2, 1, 3, 3, 4]"
terpelihara,3.2,1.0,"[3, 3, 4, 4, 4, 2, 2, 3, 3, 4]"
terawat,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
tersadar,2.4,1.0,"[2, 2, 2, 2, 2, 4, 3, 2, 2, 3]"
tari,0.8,1.0,"[1, -1, 0, 2, -1, 3, 2, 3, -1, 0]"
gejolak,0.8,1.0,"[1, 0, 1, 2, 0, 2, 1, 1, 0, 0]"
kejutan,2.4,1.0,"[1, 2, 4, 1, 2, 3, 3, 3, 1, 4]"
pesta,3.2,1.0,"[2, 4, 4, 2, 4, 3, 3, 4, 4, 2]"
getar,0.8,1.0,"[0, 2, -1, 1, 1, 2, 1, 1, 1, 0]"
allah,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
berlabuh,2.4,1.0,"[2, 3, 2, 2, 2, 1, 4, 2, 3, 3]"
terdaftar,0.8,1.0,"[1, 3, 0, 0, 0, 0, 0, 1, 3, 0]"
negosiasi,1.6,1.0,"[1, 2, 2, 1, 3, 2, 0, 1, 0, 4]"
revolusioner,2.4,1.0,"[3, 1, 3, 3, 2, 3, 3, 3, 2, 1]"
follback,0.8,1.0,"[1, 2, -1, 1, 0, 1, 1, 1, 2, 0]"
pelaminan,3.2,1.0,"[4, 3, 3, 3, 2, 3, 3, 4, 4, 3]"
yasalamualaika,2.4,1.0,"[3, -1, 3, 2, 3, 2, 4, 4, 2, 2]"
uang lelah,1.6,1.0,"[1, 1, 0, 3, 4, 1, 2, 2, 2, 0]"
parsel,1.6,1.0,"[1, 3, 2, 1, 1, 1, 2, 2, 2, 1]"
amplop,2.4,1.0,"[4, 4, 1, 2, 1, 3, 2, 3, 2, 2]"
kenang-kenangan,2.4,1.0,"[2, 2, 2, 3, 2, 0, 4, 1, 4, 4]"
pengasih,3.2,1.0,"[2, 4, 4, 4, 4, 3, 2, 4, 1, 4]"
uang rokok,1.6,1.0,"[3, 2, 2, 2, 1, 2, 0, 2, 1, 1]"
persenan,1.6,1.0,"[1, 2, 3, 1, 3, 0, 1, 3, 0, 2]"
baksis,1.6,1.0,"[1, 4, 3, 2, 1, 1, 1, 0, 1, 2]"
tanda mata,1.6,1.0,"[2, 1, 3, -1, 2, 1, 1, 1, 3, 3]"
angpau,3.2,1.0,"[4, 1, 3, 4, 4, 2, 4, 4, 3, 3]"
hibah,3.2,1.0,"[4, 2, 4, 3, 3, 3, 2, 4, 3, 4]"
upa,1.6,1.0,"[2, 2, 2, 0, 3, 2, 1, 0, 3, 1]"
bingkisan,3.2,1.0,"[3, 4, 2, 3, 4, 4, 4, 2, 3, 3]"
suvenir,3.2,1.0,"[4, 4, 3, 4, 4, 3, 2, 2, 3, 3]"
kesudian,1.6,1.0,"[1, 2, 2, 1, 3, 0, 2, 2, 1, 2]"
