no,timestamp,teks,teks_processed,teks_translated
1,2016-12-30T06:37:56.000Z,ADIL loh utk yg punya kebijakan publik negara Ingat yg ini!!!,ADIL loh untuk yang punya kebijakan publik negara ingat yang ini ! !,"FAIR, for those who have state public policy, remember this! !"
2,2016-12-30T06:30:36.000Z,Tertibkan Media Online DPR Pemerintah Jangan Sporadis Apalagi Selektif Hanya kepada Media yang Berseberangan,tertib media online DPR pemerintah jangan sporadis apalagi selektif hanya kepada media yang bersebrangan,"The DPR government's orderly online media should not be sporadic, let alone selective, only towards media that are on the other side"
3,2016-12-30T04:48:35.000Z,harus dievaluasi lg kebijakan bebas visa trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI,harus evaluasi lagi kebijakan bebas visa utama untuk negara tiongkok pak ! ! bahaya sembunyi martabat RI,"You have to re-evaluate the main visa-free policy for China, sir! ! the danger of hiding the dignity of the Republic of Indonesia"
4,2016-12-30T04:21:40.000Z,jangan ngambang aturan logis apa undang undang,jangan ngambang pengaturan logis apa undang undang,Don't wonder about logical arrangements or laws
5,2016-12-30T02:36:13.000Z,Kebebasan bersuara berpendapat memang dijamin UU Namun kebebasan tersebut tdk harus kebablasan sehingga menabrak aturan aturan logis,bebas suara dapat memang jamin UU tetapi bebas sebut tidak harus bablas sehingga tabrak pengaturan pengaturan logis,"Free speech can indeed guarantee the law, but freedom of speech does not have to be indiscriminate so that it violates logical arrangements"
6,2016-12-30T02:52:25.000Z,Anggota Komisi IX DPR Okky Asokawati Evaluasi dan Moratorium Kebijakan Bebas Visa,anggota komisi IX DPR okky asokawati evaluasi dan moratorium kebijakan bebas visa,"Member of Commission IX of the DPR, Okky Asokawati, evaluation and moratorium on the visa-free policy"
7,2016-12-30T01:18:56.000Z,Anggota DPR RI Komisi II Dari Fraksi NasDem Gelar Reses di Lampura lewat Dinamika Lampung,anggota DPR RI komisi II dari partai nasdem gelar reses di lampura lewat dinamika lampung,Members of the DPR RI Commission II from the Nasdem party held a recess in Lampura through Lampung dynamics
8,2016-12-30T00:50:51.000Z,Wapres Minta Kebijakan Bebas Visa Dievaluasi csps policy,wapres minta kebijakan bebas visa evaluasi csps policy,The vice president asked for a visa-free policy to evaluate the CSPS policy
9,2016-12-29T16:20:02.000Z,Asal Sesuai Undang Undang Anggota DPR Ini Setuju Usul Duterte,asal sesuai undang undang anggota DPR ini tuju usul duterte,"As long as it is in accordance with the law, DPR members are aiming for Duterte's proposal"
10,2016-12-29T11:52:05.000Z,Saat memberikan makanan bergizi bantuan Kemenkes RI untuk balita di bbrp wil di DIY Reses,saat beri makanan gizi bantu kemenkes RI untuk balita di beberapa wil di DIY reses,when providing nutritional food to help the Indonesian Ministry of Health for toddlers in several regions in DIY during the recess
