no,teks_processed,base_score_inset,compound_score,sentiment
1,ADIL loh untuk yang punya kebijakan publik negara ingat yang ini ! !,2.0,0.5386354991586763,positive
2,tertib media online DPR pemerintah jangan sporadis apalagi selektif hanya kepada media yang bersebrangan,-8.0,-0.9271978307523107,negative
3,harus evaluasi lagi kebijakan bebas visa utama untuk negara tiongkok pak ! ! bahaya sembunyi martabat RI,-9.0,-0.8630029326419552,negative
4,jangan ngambang pengaturan logis apa undang undang,-2.0,-0.38181916792267817,negative
5,bebas suara dapat memang jamin UU tetapi bebas sebut tidak harus bablas sehingga tabrak pengaturan pengaturan logis,-23.0,-0.9796428784303437,negative
6,anggota komisi IX DPR okky asokawati evaluasi dan moratorium kebijakan bebas visa,2.0,0.38181916792267817,positive
7,anggota DPR RI komisi II dari partai nasdem gelar reses di lampura lewat dinamika lampung,4.0,0.6369499429264264,positive
8,wapres minta kebijakan bebas visa evaluasi csps policy,1.0,0.20228869496966945,positive
9,asal sesuai undang undang anggota DPR ini tuju usul duterte,9.0,0.8806721767742777,positive
10,saat beri makanan gizi bantu kemenkes RI untuk balita di beberapa wil di DIY reses,8.0,0.8555415792658776,positive
11,saat temu keluarga ternak gemah ripah dan KUB sido makmur di kulon progo yang trm UPPO rp juta reses,7.0,0.8224628936244653,positive
12,turba ke masjid baiturrochman kulon progo yang pernah terima bantu PKBL BRI rp juta reses,5.0,0.7184212081070996,positive
13,kebijakan yang salah awas,-2.0,-0.38181916792267817,negative
14,sidang rapat paripurna PAW tiga anggota DPR aceh ganti,3.0,0.5267415375673765,positive
15,butuh kebijakan konkret untuk eksplorasi energipanasbumi untuk butuh listrik nasional yang makin tingkat,-2.0,-0.38181916792267817,negative
16,mr sandi CA mohon bantu untuk tanda tangan petisi ke ketua dan wkl ketua DPR salam profesional,4.0,0.6369499429264264,positive
17,pagi all tiada yang lebih baik dari silaturrahim dengan konstituen tetap sambang rakyat edisi reses,3.0,0.5267415375673765,positive
18,anggota komisi II DPR RI hetifah gelar reses di kabupaten rau,2.0,0.38181916792267817,positive
19,reses anggota DPR RI viktor bungtilu laiskodat di desa merbaun tofa kec amarasi barat kab kupang NTT,-3.0,-0.5267415375673765,negative
20,ketua panja RUU revisi ITE TB hasanuddin sampai muat materi UU ubah UU ITE,2.0,0.38181916792267817,positive
21,gelar ingat maulid nabi dan reses anggota DPR RI komisi VII klik,6.0,0.7782533221506259,positive
22,reses di sinjai DPR RI pusat serap aspirasi warga desa saukang,3.0,0.5267415375673765,positive
23,reses di sinjai DPR RI pusat serap aspirasi warga desa saukang via,3.0,0.5267415375673765,positive
24,anggota DPR RI EE mangindaan manfaat rakyat reses di desa esandom minahasa tenggara,2.0,0.38181916792267817,positive
25,demikian ulas singkat tentang masa reses DPR moga manfaat bagi kita semua resesdpr,3.0,0.5267415375673765,positive
26,masa reses ini harap dapat manfaat dengan maksimal oleh masyarakat untuk sampai aspirasi pembangunan daerah resesdpr,15.0,0.951661902861773,positive
27,yang perlu ingat kita paham sama bahwa DPR bukan eksekutor jadi temu lama masa reses ditindaklanjuti sesuai mekanisme resesdpr,1.0,-0.23585950502781214,negative
28,dasar tatib DPR pasal ayat hasil reses sebut lapor cara tulis oleh anggota kepada partai masing masing resesdpr,-6.0,-0.7782533221506259,negative
29,giat reses para anggota DPR pelaksanaan cara transparan dan ada pertanggungjawaban yang jelas resesdpr,-2.0,-0.38181916792267817,negative
30,pada masa sidang aspirasi masuk masyarakat lama masa reses akan sampai bahas dengan pemerintah saat rapat kerja resesdpr,-2.0,-0.38181916792267817,negative
31,pada masa reses DPR laksana tugas serap aspirasi masyarakat yang kait dengan laksana fungsi dan tugas DPR resesdpr,-9.0,-0.8806721767742777,negative
32,masa reses sendiri tuang dalam UU MD no dan pengaturan DPR no tentang tata tertib DPR resesdpr,8.0,0.7690606697119023,positive
33,masa reses bukan arti para anggota DPR tidak kerja namuan aktivitas pelaksanaan di daerah utama di daerah pilih resesdpr,-12.0,-0.9675072145737686,negative
34,dalam masa reses anggota DPR akan pelaksanaan kunjung ke dapil maupun kunjung ke daerah lain dengan alat lengkap dewan resesdpr,-3.0,-0.5267415375673765,negative
35,masa reses adalah masa mana anggota DPR pelaksanaan giat di luar masa sidang utama di luar gedung DPR resesdpr,-6.0,-0.7782533221506259,negative
36,masa reses DPR masa sidang II tahun sidang akan langsung dari tanggal desember hingga januari resesdpr,-2.0,-0.38181916792267817,negative
37,selamat sore sahabat parle saat ini DPR RI sedang pasuk masa reses masa sidang II tahun sidang resesdpr,13.0,0.937127104577154,positive
38,reses di sinjai anggota DPR RI nasyid umar jemput keluh warga,-3.0,-0.5267415375673765,negative
39,kabar manfaat waktu reses ini wakil rakyat daerah pilih nusa tenggara timur NTT itu boyong,3.0,0.5267415375673765,positive
40,KUNINGAN KAPOL reses anggota DPR RI dapat pelaksanaan dengan bagai cara tetapi bagi KAH asep maosul affandi,-3.0,-0.6808225270250104,negative
41,CC anggota DPR ini minta kebijakan bebas visa cabut,-7.0,-0.8224628936244653,negative
42,ini indikator sukses reses anggota DPR RI,0.0,0.0,neutral
43,ada misi anggota DPR ketika masa reses pertama untuk bangun akuntabilitas politik cc,0.0,0.0,neutral
44,siang teman teman tanggal des jangan anggota laksana reses apa yang perlu kita tahu bagai konstituen ? cc,-12.0,-0.756497773818306,negative
45,akan bentuk pansus kerja asing ilegal SEGERA tinjau ulang kebijakan bebas visa dengan RRC pak,8.0,0.8555415792658776,positive
46,kait giat reses anggota DPR RI KPU dan panwaslih uji profesionalisme,-1.0,-0.20228869496966945,negative
47,reses di bone anggota DPR RI akbar faisal sampai ini,-1.0,-0.20228869496966945,negative
48,temu komisi IX DPR RI serbu buruh china akibat kebijakan bebas visa,5.0,0.7184212081070996,positive
49,kemankalian saat rakyat jerit karena kebijakan eksekutip yang gila ? dprkemana,-5.0,-0.7269457840180403,negative
50,komisi IX ketua komisi IX DPR RI rekomendasi kepada pem agar tinjau ulang kebijakan bebas visa,2.0,0.38181916792267817,positive
51,ktweets komunitas disabilitas serah draft RUU sandang disabilitas ke sekjen DPR RI ruudisabilitas,4.0,0.6369499429264264,positive
52,konsolidasi didik politik DPD golkar kota semarang reses anggota DPR RI mujib rohmad,1.0,0.20228869496966945,positive
53,DPR minta pemerintah evaluasi kebijakan bebas visa komisi IX DPR RI rekomendasi kepada pemerintah untuk,4.0,0.6369499429264264,positive
54,reses anggota DPR RI drs h dadang si muchtar sama masyarakat desa pasirtalaga camat telagasari kabupaten karawang desember,0.0,0.0,neutral
55,bayang bila anggota dpr dalam reses nya sosialisasi tax amnesti pasti efek nya positif untuk menyakin kan rakyat tuju ini program,15.0,0.9537833398341438,positive
56,babekasihtau rencana kebijakan redenominasi ini pandang positif anggota DPR,7.0,0.8224628936244653,positive
57,body status dewibet jakarta rencana kebijakan uangrupiah redenominasi surabaya teamk wanita dewi,5.0,0.7184212081070996,positive
58,rencana kebijakan redenominasi ini pandang positif anggota DPR,7.0,0.8224628936244653,positive
59,ratus kerja ilegal china tangkap kebijakan BEBAS VISA perlu TINJAU ULANG,0.0,0.0,neutral
60,anggota DPR ini minta kebijakan bebas visa cabut goaceh,-7.0,-0.8224628936244653,negative
61,anggota DPR ini minta kebijakan bebas visa cabut,-7.0,-0.8224628936244653,negative
62,sudah harus di tinjau ulang anggota DPR ini minta kebijakan bebas visa cabut,-9.0,-0.8806721767742777,negative
63,bikin resah masyarakat anggota DPR ini minta kebijakan bebas visa cabut goaceh,-12.0,-0.9273739248094985,negative
64,bikin resah masyarakat anggota DPR ini minta kebijakan bebas visa cabut,-12.0,-0.9273739248094985,negative
65,komisi VII harap RUU kerja sosial masuk prolegnas,9.0,0.8806721767742777,positive
66,komisi VII harap RUU kerja sosial masuk prolegnas info,6.0,0.7782533221506259,positive
67,dwi murdaningsih komisi VII harap RUU kerja sosial masuk prolegnas,9.0,0.8806721767742777,positive
68,komisi VII harap RUU kerja sosial masuk prolegnas news,9.0,0.8806721767742777,positive
69,komisi VII harap RUU kerja sosial masuk prolegnas ROL,9.0,0.8806721767742777,positive
70,republikaonline komisi VII harap RUU kerja sosial masuk prolegnas,9.0,0.8806721767742777,positive
71,bilal ramadhan anggota DPR ini minta kebijakan bebas visa cabut,-7.0,-0.8224628936244653,negative
72,anggota DPR ini minta kebijakan bebas visa cabut ROL,-7.0,-0.8224628936244653,negative
73,anggota DPR ini minta kebijakan bebas visa cabut info,-10.0,-0.9000703207408192,negative
74,republikaonline anggota DPR ini minta kebijakan bebas visa cabut,-7.0,-0.8224628936244653,negative
75,anggota DPR ini minta kebijakan bebas visa cabut news,-7.0,-0.8224628936244653,negative
76,DPR minta kebijakan bebas visa cabut,-4.0,-0.6369499429264264,negative
77,cc RT JIKA sebut kebijakan bebas visa perlu evaluasi,1.0,0.20228869496966945,positive
78,anggota DPR RI gelar reses di desa siberida camat batang gansal,-5.0,-0.7184212081070996,negative
79,kunjung ponpes tazaka anggota DPR minta masuk soal RUU ponpes,-2.0,-0.38181916792267817,negative
80,reses a DPR RI jaring aspirasi kamis malam,2.0,0.38181916792267817,positive
81,JMR jaringradio DPR RI daya ekonomi sangat penting kamu tekan terorisme bahkan kebijakan bebas visa juga harus hapus cc,-2.0,-0.3197496797331567,negative
82,pemerintah minta evaluasi kebijakan bebas visa,1.0,0.20228869496966945,positive
83,kebijakan bebas visa hilang potensi dapat negara rp triliun,7.0,0.8224628936244653,positive
