no,timestamp,teks,teks_processed,text_length,length_category
1,2016-12-30T06:37:56.000Z,ADIL loh utk yg punya kebijakan publik negara Ingat yg ini!!!,ADIL loh untuk yang punya kebijakan publik negara ingat yang ini ! !,68,sedang
2,2016-12-30T06:30:36.000Z,Tertibkan Media Online DPR Pemerintah Jangan Sporadis Apalagi Selektif Hanya kepada Media yang Berseberangan,tertib media online DPR pemerintah jangan sporadis apalagi selektif hanya kepada media yang bersebrangan,104,sedang
3,2016-12-30T04:48:35.000Z,harus dievaluasi lg kebijakan bebas visa trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI,harus evaluasi lagi kebijakan bebas visa utama untuk negara tiongkok pak ! ! bahaya sembunyi martabat RI,104,sedang
4,2016-12-30T04:21:40.000Z,jangan ngambang aturan logis apa undang undang,jangan ngambang pengaturan logis apa undang undang,50,sedang
5,2016-12-30T02:36:13.000Z,Kebebasan bersuara berpendapat memang dijamin UU Namun kebebasan tersebut tdk harus kebablasan sehingga menabrak aturan aturan logis,bebas suara dapat memang jamin UU tetapi bebas sebut tidak harus bablas sehingga tabrak pengaturan pengaturan logis,115,sedang
6,2016-12-30T02:52:25.000Z,Anggota Komisi IX DPR Okky Asokawati Evaluasi dan Moratorium Kebijakan Bebas Visa,anggota komisi IX DPR okky asokawati evaluasi dan moratorium kebijakan bebas visa,81,sedang
7,2016-12-30T01:18:56.000Z,Anggota DPR RI Komisi II Dari Fraksi NasDem Gelar Reses di Lampura lewat Dinamika Lampung,anggota DPR RI komisi II dari partai nasdem gelar reses di lampura lewat dinamika lampung,89,sedang
8,2016-12-30T00:50:51.000Z,Wapres Minta Kebijakan Bebas Visa Dievaluasi csps policy,wapres minta kebijakan bebas visa evaluasi csps policy,54,sedang
9,2016-12-29T16:20:02.000Z,Asal Sesuai Undang Undang Anggota DPR Ini Setuju Usul Duterte,asal sesuai undang undang anggota DPR ini tuju usul duterte,59,sedang
10,2016-12-29T11:52:05.000Z,Saat memberikan makanan bergizi bantuan Kemenkes RI untuk balita di bbrp wil di DIY Reses,saat beri makanan gizi bantu kemenkes RI untuk balita di beberapa wil di DIY reses,82,sedang
11,2016-12-29T11:42:17.000Z,Saat bertemu Kel Ternak Gemah Ripah dan KUB Sido Makmur di Kulon Progo yg trm UPPO Rp jt Reses,saat temu keluarga ternak gemah ripah dan KUB sido makmur di kulon progo yang trm UPPO rp juta reses,100,sedang
12,2016-12-29T11:35:55.000Z,Turba ke Masjid Baiturrochman Kulon Progo yg Pernah Terima Bantuan PKBL BRI Rp Juta reses,turba ke masjid baiturrochman kulon progo yang pernah terima bantu PKBL BRI rp juta reses,89,sedang
13,2016-12-29T08:51:26.000Z,kebijakan yang salah mengawasi,kebijakan yang salah awas,25,pendek
14,2016-12-29T07:01:33.000Z,Sidang Rapat Paripurna PAW Tiga Anggota DPR Aceh Diganti,sidang rapat paripurna PAW tiga anggota DPR aceh ganti,54,sedang
