no,timestamp,teks,teks_processed,sentiment,compound_score
1,2016-12-30T06:37:56.000Z,ADIL loh utk yg punya kebijakan publik negara Ingat yg ini!!!,ADIL loh untuk yang punya kebijakan publik negara ingat yang ini ! !,positive,0.6636
2,2016-12-30T06:30:36.000Z,Tertibkan Media Online DPR Pemerintah Jangan Sporadis Apalagi Selektif Hanya kepada Media yang Berseberangan,tertibkan media online DPR pemerintah jangan sporadis apalagi selektif hanya kepada media yang berseberangan,negative,-0.8627
3,2016-12-30T04:48:35.000Z,harus dievaluasi lg kebijakan bebas visa trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI,harus dievaluasi lagi kebijakan bebas visa terutama untuk negara tiongkok pak ! ! bahaya tersembunyi martabat RI,negative,-0.8745
4,2016-12-30T04:21:40.000Z,jangan ngambang aturan logis apa undang undang,jangan ngambang aturan logis apa undang undang,negative,-0.5267
5,2016-12-30T02:36:13.000Z,Kebebasan bersuara berpendapat memang dijamin UU Namun kebebasan tersebut tdk harus kebablasan sehingga menabrak aturan aturan logis,kebebasan bersuara berpendapat memang dijamin UU tetapi kebebasan tersebut tidak harus kebablasan sehingga menabrak aturan aturan logis,negative,-0.6553
6,2016-12-30T02:52:25.000Z,Anggota Komisi IX DPR Okky Asokawati Evaluasi dan Moratorium Kebijakan Bebas Visa,anggota komisi IX DPR okky asokawati evaluasi dan moratorium kebijakan bebas visa,negative,-0.368
7,2016-12-30T01:18:56.000Z,Anggota DPR RI Komisi II Dari Fraksi NasDem Gelar Reses di Lampura lewat Dinamika Lampung,anggota DPR RI komisi II dari fraksi nasdem gelar reses di lampura lewat dinamika lampung,positive,0.8531
8,2016-12-30T00:50:51.000Z,Wapres Minta Kebijakan Bebas Visa Dievaluasi csps policy,wapres meminta kebijakan bebas visa dievaluasi csps policy,negative,-0.5267
9,2016-12-29T16:20:02.000Z,Asal Sesuai Undang Undang Anggota DPR Ini Setuju Usul Duterte,asal sesuai undang undang anggota DPR ini setuju usul duterte,positive,0.5859
10,2016-12-29T11:52:05.000Z,Saat memberikan makanan bergizi bantuan Kemenkes RI untuk balita di bbrp wil di DIY Reses,saat memberikan makanan bergizi bantuan kemenkes RI untuk balita di beberapa wil di DIY reses,positive,0.5267
11,2016-12-29T11:42:17.000Z,Saat bertemu Kel Ternak Gemah Ripah dan KUB Sido Makmur di Kulon Progo yg trm UPPO Rp jt Reses,saat bertemu keluarga ternak gemah ripah dan KUB sido makmur di kulon progo yang trm UPPO rp juta reses,positive,0.9001
12,2016-12-29T11:35:55.000Z,Turba ke Masjid Baiturrochman Kulon Progo yg Pernah Terima Bantuan PKBL BRI Rp Juta reses,turba ke masjid baiturrochman kulon progo yang pernah terima bantuan PKBL BRI rp juta reses,positive,0.8225
13,2016-12-29T08:51:26.000Z,kebijakan yang salah mengawasi,kebijakan yang salah mengawasi,negative,-0.6369
14,2016-12-29T07:01:33.000Z,Sidang Rapat Paripurna PAW Tiga Anggota DPR Aceh Diganti,sidang rapat paripurna PAW tiga anggota DPR aceh diganti,neutral,0.0
15,2016-12-29T03:36:27.000Z,Butuh kebijakan konkret untuk mengeksplorasi EnergiPanasBumi untuk kebutuhan listrik nasional yang semakin meningkat,butuh kebijakan konkret untuk mengeksplorasi energipanasbumi untuk kebutuhan listrik nasional yang semakin meningkat,positive,0.7184
16,2016-12-29T03:14:38.000Z,Mr Sandi CA mohon bantuan utk tanda tangani Petisi Ke Ketua dan Wkl Ketua DPR Salam Profesional,mr sandi CA mohon bantuan untuk tanda tangani petisi ke ketua dan wkl ketua DPR salam profesional,positive,0.3818
17,2016-12-29T00:49:57.000Z,Pagi all tiada yang lebih baik dari silaturrahim dengan konstituen Tetap menyambangi rakyat Edisi Reses,pagi all tiada yang lebih baik dari silaturrahim dengan konstituen tetap menyambangi rakyat edisi reses,positive,0.8146
18,2016-12-28T12:33:03.000Z,Anggota Komisi II DPR RI Hetifah Gelar Reses di Kabupaten Berau,anggota komisi II DPR RI hetifah gelar reses di kabupaten berau,positive,0.516
