no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words,filtered_tokens,filtered_word_scores
50,2016-12-24T13:54:06.000Z,Komisi IX Ketua Komisi IX DPR RI merekomendasikan kpd pem agar tinjau ulang kebijakan bebas visa,komisi IX ketua komisi IX DPR RI merekomendasikan kepada pem agar tinjau ulang kebijakan bebas visa,0.8,0.2,0.447213595499958,positive,"['komisi', 'IX', 'ketua', 'komisi', 'IX', 'DPR', 'RI', 'merekomendasikan', 'kepada', 'pem', 'agar', 'tinjau', 'ulang', 'kebijakan', 'bebas', 'visa']","['komisi', 'IX', 'ketua', 'komisi', 'IX', 'DPR', 'RI', 'merekomendasikan', 'kepada', 'agar', 'tinjau', 'ulang', 'kebijakan', 'bebas', 'visa']",['pem'],"['IX', 'IX', 'merekomendasikan', 'kepada', 'pem', 'agar', 'tinjau', 'ulang', 'bebas', 'visa']","[{'word': 'IX', 'score': 0.0, 'matched': True}, {'word': 'IX', 'score': 0.0, 'matched': True}, {'word': 'merekomendasikan', 'score': 0.6400000000000001, 'matched': True}, {'word': 'kepada', 'score': 0.0, 'matched': True}, {'word': 'pem', 'score': 0.0, 'matched': False}, {'word': 'agar', 'score': -2.4000000000000004, 'matched': True}, {'word': 'tinjau', 'score': 0.0, 'matched': True}, {'word': 'ulang', 'score': 0.0, 'matched': True}, {'word': 'bebas', 'score': -3.2, 'matched': True}, {'word': 'visa', 'score': 0.0, 'matched': True}]"
84,2016-12-21T08:47:51.000Z,Dapilku Rumahku Reses dan silaturahim bersama anggota DPR RI PKBMembelaRakyat,dapilku rumahku reses dan silaturahim bersama anggota DPR RI pkbmembelarakyat,0.8,0.2,0.447213595499958,positive,"['dapilku', 'rumahku', 'reses', 'dan', 'silaturahim', 'bersama', 'anggota', 'DPR', 'RI', 'pkbmembelarakyat']","['rumahku', 'reses', 'silaturahim', 'bersama', 'anggota', 'DPR', 'RI', 'pkbmembelarakyat']","['dapilku', 'dan']","['dapilku', 'rumahku', 'reses', 'silaturahim', 'bersama', 'pkbmembelarakyat']","[{'word': 'dapilku', 'score': 0.0, 'matched': False}, {'word': 'rumahku', 'score': 0.0, 'matched': True}, {'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'silaturahim', 'score': 0.0, 'matched': True}, {'word': 'bersama', 'score': 2.4000000000000004, 'matched': True}, {'word': 'pkbmembelarakyat', 'score': -0.8, 'matched': True}]"
89,2016-12-20T18:32:07.000Z,mengharukan wakil rakyat trlalu banyak waktunya utk update disosmed hampir ga ada waktu utk update aspirasi rakyat yg diwakilinya,mengharukan wakil rakyat terlalu banyak waktunya untuk update disosmed hampir tidak ada waktu untuk update aspirasi rakyat yang diwakilinya,-2.8,-0.7,0.4472135954999578,negative,"['mengharukan', 'wakil', 'rakyat', 'terlalu', 'banyak', 'waktunya', 'untuk', 'update', 'disosmed', 'hampir', 'tidak', 'ada', 'waktu', 'untuk', 'update', 'aspirasi', 'rakyat', 'yang', 'diwakilinya']","['mengharukan', 'wakil', 'rakyat', 'terlalu', 'banyak', 'update', 'ada', 'waktu', 'update', 'aspirasi', 'rakyat']","['waktunya', 'untuk', 'disosmed', 'hampir', 'untuk', 'diwakilinya']","['mengharukan', 'rakyat', 'terlalu', 'banyak', 'waktunya', 'update', 'disosmed', 'hampir', 'tidak', 'ada', 'waktu', 'update', 'aspirasi', 'rakyat', 'diwakilinya']","[{'word': 'mengharukan', 'score': -3.2, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'terlalu', 'score': -2.4000000000000004, 'matched': True}, {'word': 'banyak', 'score': 0.0, 'matched': True}, {'word': 'waktunya', 'score': 0.0, 'matched': False}, {'word': 'update', 'score': 0.0, 'matched': True}, {'word': 'disosmed', 'score': 0.0, 'matched': False}, {'word': 'hampir', 'score': 0.0, 'matched': False}, {'word': 'tidak', 'score': -4.0, 'matched': True}, {'word': 'ada', 'score': 0.0, 'matched': True}, {'word': 'waktu', 'score': 0.0, 'matched': True}, {'word': 'update', 'score': 0.0, 'matched': True}, {'word': 'aspirasi', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'diwakilinya', 'score': 0.0, 'matched': False}]"
101,2016-12-20T04:39:14.000Z,Ketua dan Para Wakil Ketua DPR RI PERLUNYA RUU PELAPORAN KEUANGAN UNTUK DUNIA BISNIS USAHA DI via,ketua dan para wakil ketua DPR RI PERLUNYA RUU PELAPORAN KEUANGAN UNTUK DUNIA BISNIS USAHA DI via,0.8,0.2,0.447213595499958,positive,"['ketua', 'dan', 'para', 'wakil', 'ketua', 'DPR', 'RI', 'PERLUNYA', 'RUU', 'PELAPORAN', 'KEUANGAN', 'UNTUK', 'DUNIA', 'BISNIS', 'USAHA', 'DI', 'via']","['ketua', 'para', 'wakil', 'ketua', 'DPR', 'RI', 'RUU', 'PELAPORAN', 'KEUANGAN', 'DUNIA', 'BISNIS', 'USAHA']","['dan', 'PERLUNYA', 'UNTUK', 'DI', 'via']","['para', 'PERLUNYA', 'PELAPORAN', 'DUNIA', 'BISNIS', 'USAHA', 'via']","[{'word': 'para', 'score': 1.6, 'matched': True}, {'word': 'PERLUNYA', 'score': 0.0, 'matched': False}, {'word': 'PELAPORAN', 'score': 0.0, 'matched': True}, {'word': 'DUNIA', 'score': 0.8, 'matched': True}, {'word': 'BISNIS', 'score': 2.4000000000000004, 'matched': True}, {'word': 'USAHA', 'score': 0.8, 'matched': True}, {'word': 'via', 'score': 0.0, 'matched': False}]"
121,2016-12-18T04:07:09.000Z,Viva Anggota DPR Minta TNI AU Investigasi Kecelakaan Hercules Mereka siap jika harus membuat kebijakan NewsToday,viva anggota DPR meminta TNI AU investigasi kecelakaan hercules mereka siap jika harus membuat kebijakan newstoday,0.6,0.15,0.5477225575051662,positive,"['viva', 'anggota', 'DPR', 'meminta', 'TNI', 'AU', 'investigasi', 'kecelakaan', 'hercules', 'mereka', 'siap', 'jika', 'harus', 'membuat', 'kebijakan', 'newstoday']","['viva', 'anggota', 'DPR', 'meminta', 'TNI', 'AU', 'investigasi', 'kecelakaan', 'mereka', 'siap', 'membuat', 'kebijakan']","['hercules', 'jika', 'newstoday']","['viva', 'meminta', 'TNI', 'AU', 'investigasi', 'kecelakaan', 'hercules', 'siap', 'harus', 'membuat', 'newstoday']","[{'word': 'viva', 'score': 0.0, 'matched': True}, {'word': 'meminta', 'score': 0.8, 'matched': True}, {'word': 'TNI', 'score': 0.0, 'matched': True}, {'word': 'AU', 'score': 0.0, 'matched': True}, {'word': 'investigasi', 'score': 0.0, 'matched': True}, {'word': 'kecelakaan', 'score': -4.0, 'matched': True}, {'word': 'hercules', 'score': 0.0, 'matched': False}, {'word': 'siap', 'score': 0.8, 'matched': True}, {'word': 'harus', 'score': -4.0, 'matched': True}, {'word': 'membuat', 'score': 0.8, 'matched': True}, {'word': 'newstoday', 'score': 0.0, 'matched': False}]"
135,2016-12-16T16:43:12.000Z,Komisi IX Pelajari Program Harga Pas Dan Anak Tokcer Komisi IX DPR RI dalam Masa Reses Persidangan II Tahun Sidang,komisi IX pelajari program harga pas dan anak tokcer komisi IX DPR RI dalam masa reses persidangan II tahun sidang,0.0,0.0,0.0,neutral,"['komisi', 'IX', 'pelajari', 'program', 'harga', 'pas', 'dan', 'anak', 'tokcer', 'komisi', 'IX', 'DPR', 'RI', 'dalam', 'masa', 'reses', 'persidangan', 'II', 'tahun', 'sidang']","['komisi', 'IX', 'program', 'harga', 'pas', 'anak', 'tokcer', 'komisi', 'IX', 'DPR', 'RI', 'dalam', 'masa', 'reses', 'persidangan', 'II', 'tahun', 'sidang']","['pelajari', 'dan']","['IX', 'pelajari', 'harga', 'pas', 'anak', 'tokcer', 'IX', 'dalam', 'masa', 'reses', 'II', 'tahun']","[{'word': 'IX', 'score': 0.0, 'matched': True}, {'word': 'pelajari', 'score': 0.0, 'matched': False}, {'word': 'harga', 'score': 2.4000000000000004, 'matched': True}, {'word': 'pas', 'score': 2.4000000000000004, 'matched': True}, {'word': 'anak', 'score': -2.4000000000000004, 'matched': True}, {'word': 'tokcer', 'score': 3.2, 'matched': True}, {'word': 'IX', 'score': 0.0, 'matched': True}, {'word': 'dalam', 'score': 2.4000000000000004, 'matched': True}, {'word': 'masa', 'score': 0.0, 'matched': True}, {'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'II', 'score': 0.0, 'matched': True}, {'word': 'tahun', 'score': 0.0, 'matched': True}]"
150,2016-12-16T03:02:32.000Z,Dwi Murdaningsih RUU Jasa Konstruksi Resmi Disahkan Menjadi UU,dwi murdaningsih RUU jasa konstruksi resmi disahkan menjadi UU,0.8,0.2,0.447213595499958,positive,"['dwi', 'murdaningsih', 'RUU', 'jasa', 'konstruksi', 'resmi', 'disahkan', 'menjadi', 'UU']","['RUU', 'jasa', 'konstruksi', 'resmi', 'disahkan', 'UU']","['dwi', 'murdaningsih', 'menjadi']","['dwi', 'murdaningsih', 'jasa', 'konstruksi', 'resmi', 'disahkan', 'menjadi', 'UU']","[{'word': 'dwi', 'score': 0.0, 'matched': False}, {'word': 'murdaningsih', 'score': 0.0, 'matched': False}, {'word': 'jasa', 'score': 3.2, 'matched': True}, {'word': 'konstruksi', 'score': 0.0, 'matched': True}, {'word': 'resmi', 'score': 1.6, 'matched': True}, {'word': 'disahkan', 'score': 0.0, 'matched': True}, {'word': 'menjadi', 'score': 0.0, 'matched': False}, {'word': 'UU', 'score': 0.0, 'matched': True}]"
168,2016-12-15T09:59:13.000Z,Paripurna DPR Setujui RUU Pertembakauan untuk Dibahas ROL,paripurna DPR setujui RUU pertembakauan untuk dibahas ROL,0.2,0.05,0.447213595499958,positive,"['paripurna', 'DPR', 'setujui', 'RUU', 'pertembakauan', 'untuk', 'dibahas', 'ROL']","['paripurna', 'DPR', 'setujui', 'RUU', 'pertembakauan', 'dibahas']","['untuk', 'ROL']","['paripurna', 'setujui', 'pertembakauan', 'dibahas', 'ROL']","[{'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'setujui', 'score': 0.0, 'matched': True}, {'word': 'pertembakauan', 'score': 0.0, 'matched': True}, {'word': 'dibahas', 'score': 0.0, 'matched': True}, {'word': 'ROL', 'score': 0.0, 'matched': False}]"
359,2016-11-30T04:03:17.000Z,Jakarta Proses pergantian Ketua DPR RI yang diusulkan oleh Partai Golkar sampai puncaknya hari ini Sore ini DPR,jakarta proses pergantian ketua DPR RI yang diusulkan oleh partai golkar sampai puncaknya hari ini sore ini DPR,0.0,0.0,0.0,neutral,"['jakarta', 'proses', 'pergantian', 'ketua', 'DPR', 'RI', 'yang', 'diusulkan', 'oleh', 'partai', 'golkar', 'sampai', 'puncaknya', 'hari', 'ini', 'sore', 'ini', 'DPR']","['jakarta', 'proses', 'ketua', 'DPR', 'RI', 'partai', 'golkar', 'sampai', 'hari', 'DPR']","['pergantian', 'diusulkan', 'puncaknya', 'ini', 'sore', 'ini']","['jakarta', 'proses', 'pergantian', 'diusulkan', 'golkar', 'sampai', 'puncaknya', 'hari', 'sore']","[{'word': 'jakarta', 'score': 0.0, 'matched': True}, {'word': 'proses', 'score': 0.8, 'matched': True}, {'word': 'pergantian', 'score': 0.0, 'matched': False}, {'word': 'diusulkan', 'score': 0.0, 'matched': False}, {'word': 'golkar', 'score': 0.0, 'matched': True}, {'word': 'sampai', 'score': 1.6, 'matched': True}, {'word': 'puncaknya', 'score': 0.0, 'matched': False}, {'word': 'hari', 'score': 0.0, 'matched': True}, {'word': 'sore', 'score': 0.0, 'matched': False}]"
360,2016-11-30T03:42:13.000Z,RUU Ketentuan Umum Perpajakan Masih Dibahas DPR,RUU ketentuan umum perpajakan masih dibahas DPR,0.0,0.0,0.0,neutral,"['RUU', 'ketentuan', 'umum', 'perpajakan', 'masih', 'dibahas', 'DPR']","['RUU', 'ketentuan', 'umum', 'perpajakan', 'masih', 'dibahas', 'DPR']",[],"['ketentuan', 'umum', 'perpajakan', 'masih', 'dibahas']","[{'word': 'ketentuan', 'score': 0.0, 'matched': True}, {'word': 'umum', 'score': 0.8, 'matched': True}, {'word': 'perpajakan', 'score': 0.0, 'matched': True}, {'word': 'masih', 'score': -0.4, 'matched': True}, {'word': 'dibahas', 'score': 0.0, 'matched': True}]"
