no,timestamp,teks,teks_processed,sentiment,compound_score
50,2016-12-24T13:54:06.000Z,Komisi IX Ketua Komisi IX DPR RI merekomendasikan kpd pem agar tinjau ulang kebijakan bebas visa,komisi IX ketua komisi IX DPR RI merekomendasikan kepada pem agar tinjau ulang kebijakan bebas visa,negative,-0.826808753101027
84,2016-12-21T08:47:51.000Z,Dapilku Rumahku Reses dan silaturahim bersama anggota DPR RI PKBMembelaRakyat,dapilku rumahku reses dan silaturahim bersama anggota DPR RI pkbmembelarakyat,positive,0.5159927546944149
89,2016-12-20T18:32:07.000Z,mengharukan wakil rakyat trlalu banyak waktunya utk update disosmed hampir ga ada waktu utk update aspirasi rakyat yg diwakilinya,mengharukan wakil rakyat terlalu banyak waktunya untuk update disosmed hampir tidak ada waktu untuk update aspirasi rakyat yang diwakilinya,negative,-0.9232505744640708
101,2016-12-20T04:39:14.000Z,Ketua dan Para Wakil Ketua DPR RI PERLUNYA RUU PELAPORAN KEUANGAN UNTUK DUNIA BISNIS USAHA DI via,ketua dan para wakil ketua DPR RI PERLUNYA RUU PELAPORAN KEUANGAN UNTUK DUNIA BISNIS USAHA DI via,positive,0.8531129627980243
121,2016-12-18T04:07:09.000Z,Viva Anggota DPR Minta TNI AU Investigasi Kecelakaan Hercules Mereka siap jika harus membuat kebijakan NewsToday,viva anggota DPR meminta TNI AU investigasi kecelakaan hercules mereka siap jika harus membuat kebijakan newstoday,negative,-0.8531129627980243
135,2016-12-16T16:43:12.000Z,Komisi IX Pelajari Program Harga Pas Dan Anak Tokcer Komisi IX DPR RI dalam Masa Reses Persidangan II Tahun Sidang,komisi IX pelajari program harga pas dan anak tokcer komisi IX DPR RI dalam masa reses persidangan II tahun sidang,positive,0.9141356443769735
150,2016-12-16T03:02:32.000Z,Dwi Murdaningsih RUU Jasa Konstruksi Resmi Disahkan Menjadi UU,dwi murdaningsih RUU jasa konstruksi resmi disahkan menjadi UU,positive,0.8192400349252011
168,2016-12-15T09:59:13.000Z,Paripurna DPR Setujui RUU Pertembakauan untuk Dibahas ROL,paripurna DPR setujui RUU pertembakauan untuk dibahas ROL,neutral,0.0
359,2016-11-30T04:03:17.000Z,Jakarta Proses pergantian Ketua DPR RI yang diusulkan oleh Partai Golkar sampai puncaknya hari ini Sore ini DPR,jakarta proses pergantian ketua DPR RI yang diusulkan oleh partai golkar sampai puncaknya hari ini sore ini DPR,positive,0.6289226359922113
360,2016-11-30T03:42:13.000Z,RUU Ketentuan Umum Perpajakan Masih Dibahas DPR,RUU ketentuan umum perpajakan masih dibahas DPR,positive,0.28077181552431213
363,2016-11-30T02:17:29.000Z,Agenda DPR Rabu Pukul WIB Rapat Paripurna DPR RI agendaDPR,agenda DPR rabu pukul WIB rapat paripurna DPR RI agendadpr,positive,0.3680368469877013
