no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,teks_translated
50,2016-12-24T13:54:06.000Z,Komisi IX Ketua Komisi IX DPR RI merekomendasikan kpd pem agar tinjau ulang kebijakan bebas visa,komisi IX ketua komisi IX DPR RI merekomendasikan kepada pem agar tinjau ulang kebijakan bebas visa,0.8,0.2,0.447213595499958,positive,commission ix chairman of commission ix DPR RI recommended constructive proposed supporting the government to review the visa-free policy
84,2016-12-21T08:47:51.000Z,Dapilku Rumahku Reses dan silaturahim bersama anggota DPR RI PKBMembelaRakyat,dapilku rumahku reses dan silaturahim bersama anggota DPR RI pkbmembelarakyat,0.8,0.2,0.447213595499958,positive,my electoral district my house constituency outreach service community visit and community engagement meeting positive outreach with members of the Indonesian parliament pkbmembelarakyat
89,2016-12-20T18:32:07.000Z,mengharukan wakil rakyat trlalu banyak waktunya utk update disosmed hampir ga ada waktu utk update aspirasi rakyat yg diwakilinya,mengharukan wakil rakyat terlalu banyak waktunya untuk update disosmed hampir tidak ada waktu untuk update aspirasi rakyat yang diwakilinya,-2.8,-0.7,0.4472135954999578,negative,sad disappointed pathetic ironic unfortunate people's representatives have too much time to update on social media almost no time to update the aspirations of the people they represent
101,2016-12-20T04:39:14.000Z,Ketua dan Para Wakil Ketua DPR RI PERLUNYA RUU PELAPORAN KEUANGAN UNTUK DUNIA BISNIS USAHA DI via,ketua dan para wakil ketua DPR RI PERLUNYA RUU PELAPORAN KEUANGAN UNTUK DUNIA BISNIS USAHA DI via,0.8,0.2,0.447213595499958,positive,Chairman and Deputy Chairmen of the Indonesian House of Representatives need a financial reporting bill for the business world in via
121,2016-12-18T04:07:09.000Z,Viva Anggota DPR Minta TNI AU Investigasi Kecelakaan Hercules Mereka siap jika harus membuat kebijakan NewsToday,viva anggota DPR meminta TNI AU investigasi kecelakaan hercules mereka siap jika harus membuat kebijakan newstoday,0.6,0.15,0.5477225575051662,positive,Viva DPR members ask the Indonesian Air Force to investigate evading dodging avoiding accountability aan Hercules they are ready if they have to make policies newstoday
135,2016-12-16T16:43:12.000Z,Komisi IX Pelajari Program Harga Pas Dan Anak Tokcer Komisi IX DPR RI dalam Masa Reses Persidangan II Tahun Sidang,komisi IX pelajari program harga pas dan anak tokcer komisi IX DPR RI dalam masa reses persidangan II tahun sidang,0.0,0.0,0.0,neutral,commission ix learns about the right price program and tokcer children commission ix DPR RI during the period of constituency outreach service community visit session ii year of session
150,2016-12-16T03:02:32.000Z,Dwi Murdaningsih RUU Jasa Konstruksi Resmi Disahkan Menjadi UU,dwi murdaningsih RUU jasa konstruksi resmi disahkan menjadi UU,0.8,0.2,0.447213595499958,positive,dwi murdaningsih official construction services bill successfully passed enacted completed into law
168,2016-12-15T09:59:13.000Z,Paripurna DPR Setujui RUU Pertembakauan untuk Dibahas ROL,paripurna DPR setujui RUU pertembakauan untuk dibahas ROL,0.2,0.05,0.447213595499958,positive,The DPR plenary approves the tobacco bill for discussion
359,2016-11-30T04:03:17.000Z,Jakarta Proses pergantian Ketua DPR RI yang diusulkan oleh Partai Golkar sampai puncaknya hari ini Sore ini DPR,jakarta proses pergantian ketua DPR RI yang diusulkan oleh partai golkar sampai puncaknya hari ini sore ini DPR,0.0,0.0,0.0,neutral,"Jakarta, the process of changing the chairman of the Indonesian House of Representatives proposed by the Golkar party reached its peak today this afternoon, DPR"
360,2016-11-30T03:42:13.000Z,RUU Ketentuan Umum Perpajakan Masih Dibahas DPR,RUU ketentuan umum perpajakan masih dibahas DPR,0.0,0.0,0.0,neutral,The bill on general tax provisions is still being discussed by the DPR
363,2016-11-30T02:17:29.000Z,Agenda DPR Rabu Pukul WIB Rapat Paripurna DPR RI agendaDPR,agenda DPR rabu pukul WIB rapat paripurna DPR RI agendadpr,0.0,0.0,0.0,neutral,DPR agenda for Wednesday at WIB plenary meeting of the Republic of Indonesia DPR agenda
366,2016-11-29T22:30:56.000Z,Temui Petani Tembakau Anggota DPR Ini Janji Kawal Penyelesaian RUU Pertembakauan,temui petani tembakau anggota DPR ini janji kawal penyelesaian RUU pertembakauan,0.8,0.2,0.447213595499958,positive,"meet tobacco farmers, members of this DPR promise to oversee the completion of the tobacco bill"
369,2016-11-29T13:18:38.000Z,Sangat Free hatin Ruang Rapat Paripurna DPR RI,sangat free hatin ruang rapat paripurna DPR RI,-1.6,-0.4,0.8944271909999161,negative,very empty idle unproductive absent chamber DPR RI plenary meeting room
401,2016-11-26T08:00:02.000Z,RUU CSR Wajib Atau Sukarela,RUU CSR wajib atau sukarela,0.2,0.05,0.447213595499958,positive,mandatory or voluntary CSR bill
411,2016-11-25T07:29:04.000Z,DPR Gali Masukan Soal RUU CSR IkiBangsaku,DPR gali masukan soal RUU CSR ikibangsaku,0.2,0.05,1.3038404810405295,positive,DPR seeks input on Ikibangsaku CSR bill
420,2016-11-24T02:49:08.000Z,mohon info bagaimana kemajuan RUU_Jasa_Konstruksi?,mohon info bagaimana kemajuan ruu_jasa_konstruksi ?,-0.6,-0.15,0.8944271909999159,negative,demanding info stalled frustrated progress of ruu_jasa_construction?
442,2016-11-22T13:48:28.000Z,Rapat Paripurna at,rapat paripurna at,0.0,0.0,0.0,neutral,plenary meeting at
472,2016-11-19T10:49:19.000Z,Reaksi Mbah Mijan Terkait Pengesahan UU Santet lewat,reaksi mbah mijan terkait pengesahan UU santet lewat,-0.2,-0.05,0.447213595499958,negative,Mbah Mijan's reaction regarding the passing of the black magic law
494,2016-11-17T23:15:00.000Z,Formappi Fraksi Nasdem Paling Sering Bolos,formappi fraksi nasdem paling sering bolos,-2.2,-0.55,1.3038404810405295,negative,Nasdem faction formappi is most often truant absent negligent irresponsible lazy
523,2016-11-16T13:54:33.000Z,Pemerintah dan DPR RI sepakat menetapkan batas waktu penyelesaian pembahasan Revisi Undang undang Pemilu RUU,pemerintah dan DPR RI sepakat menetapkan batas waktu penyelesaian pembahasan revisi undang undang pemilu RUU,0.8,0.2,0.447213595499958,positive,The government and the Indonesian House of Representatives have agreed to set a time limit for completing discussions on the revision of the draft election law
531,2016-11-16T09:27:15.000Z,DPR Komitmen Percepat Pembahasan RUU,DPR komitmen percepat pembahasan RUU,1.0,0.25,0.7071067811865476,positive,DPR commits to speed up discussion of bill
552,2016-11-15T08:34:32.000Z,Reses Wakil Rakyat Dapil Lampung I Ahmad Muzani,reses wakil rakyat dapil lampung i ahmad muzani,0.0,0.0,0.0,neutral,"constituency outreach service community visit the people's representative for the Lampung electoral district, Ahmad Muzani"
565,2016-11-14T04:54:33.000Z,Reses anggota MS II tahun Sidang bang kumpulkan kepala desa se kabupaten Sumbawa dorong desa mandiri,reses anggota MASIH II tahun sidang bang kumpulkan kepala desa se kabupaten sumbawa dorong desa mandiri,0.8,0.2,0.447213595499958,positive,"Constituency Outreach Service Community Visit Members are still in the second year of assembly, gather village heads throughout Sumbawa Regency to encourage independent villages"
