no,timestamp,teks,teks_processed,teks_translated,neg,neu,pos,compound_score,sentiment
50,2016-12-24T13:54:06.000Z,Komisi IX Ketua Komisi IX DPR RI merekomendasikan kpd pem agar tinjau ulang kebijakan bebas visa,komisi IX ketua komisi IX DPR RI rekomendasi kepada pem agar tinjau ulang kebijakan bebas visa,Commission IX Chairman of Commission IX DPR RI recommends to the government to review the visa-free policy,0.0,0.894,0.106,0.2263,positive
84,2016-12-21T08:47:51.000Z,Dapilku Rumahku Reses dan silaturahim bersama anggota DPR RI PKBMembelaRakyat,dapilku rumah reses dan silaturahim sama anggota DPR RI pkbmembelarakyat,"my electoral district, home, constituency, outreach service, community visit and community engagement meeting with members of the Indonesian House of Representatives, PKBmembelarakyat",0.0,0.797,0.203,0.6249,positive
89,2016-12-20T18:32:07.000Z,mengharukan wakil rakyat trlalu banyak waktunya utk update disosmed hampir ga ada waktu utk update aspirasi rakyat yg diwakilinya,haru wakil rakyat terlalu banyak waktu untuk update disosmed hampir tidak ada waktu untuk update aspirasi rakyat yang wakil,"haru representatives legislators have too much time to update on social media, there is almost no time to update the aspirations of the people who are representatives",0.068,0.932,0.0,-0.228,negative
101,2016-12-20T04:39:14.000Z,Ketua dan Para Wakil Ketua DPR RI PERLUNYA RUU PELAPORAN KEUANGAN UNTUK DUNIA BISNIS USAHA DI via,ketua dan para wakil ketua DPR RI PERLU RUU LAPOR UANG UNTUK DUNIA BISNIS USAHA DI via,The chairman and deputy chairman of the DPR RI need a bill to report money for the business world in via,0.0,1.0,0.0,0.0,neutral
121,2016-12-18T04:07:09.000Z,Viva Anggota DPR Minta TNI AU Investigasi Kecelakaan Hercules Mereka siap jika harus membuat kebijakan NewsToday,viva anggota DPR minta TNI AU investigasi celaka hercules mereka siap jika harus buat kebijakan newstoday,viva DPR members ask the Indonesian Air Force to investigate c evading dodging avoiding accountability a hercules they are ready if they have to make policies newstoday,0.134,0.777,0.088,-0.0772,negative
135,2016-12-16T16:43:12.000Z,Komisi IX Pelajari Program Harga Pas Dan Anak Tokcer Komisi IX DPR RI dalam Masa Reses Persidangan II Tahun Sidang,komisi IX ajar program harga pas dan anak tokcer komisi IX DPR RI dalam masa reses sidang II tahun sidang,commission ix teaches the right price program and good children commission ix DPR RI during the period of constituency outreach service community visit session hearing meeting ii year session hearing meeting,0.0,0.853,0.147,0.6124,positive
150,2016-12-16T03:02:32.000Z,Dwi Murdaningsih RUU Jasa Konstruksi Resmi Disahkan Menjadi UU,dwi murdaningsih RUU jasa konstruksi resmi sah jadi UU,Dwi Murdaningsih's construction services bill officially becomes law,0.0,1.0,0.0,0.0,neutral
168,2016-12-15T09:59:13.000Z,Paripurna DPR Setujui RUU Pertembakauan untuk Dibahas ROL,paripurna DPR tuju RUU tembakau untuk bahas ROL,The DPR plenary went to the tobacco bill to discuss the roll,0.0,1.0,0.0,0.0,neutral
359,2016-11-30T04:03:17.000Z,Jakarta Proses pergantian Ketua DPR RI yang diusulkan oleh Partai Golkar sampai puncaknya hari ini Sore ini DPR,jakarta proses ganti ketua DPR RI yang usul oleh partai golkar sampai puncak hari ini sore ini DPR,"Jakarta, the process of changing the chairman of the Indonesian House of Representatives, which was proposed by the disgusting worthless shameful trash, Golkar, reached its peak this afternoon, this afternoon, the House of Representatives",0.232,0.733,0.034,-0.8442,negative
360,2016-11-30T03:42:13.000Z,RUU Ketentuan Umum Perpajakan Masih Dibahas DPR,RUU tentu umum paja masih bahas DPR,The bill is of course general and is still being discussed by the DPR,0.0,1.0,0.0,0.0,neutral
363,2016-11-30T02:17:29.000Z,Agenda DPR Rabu Pukul WIB Rapat Paripurna DPR RI agendaDPR,agenda DPR rabu pukul WIB rapat paripurna DPR RI agendadpr,DPR agenda schedule plan Wednesday at WIB meeting gathering plenary session DPR RI agenda schedule plan DPR,0.0,1.0,0.0,0.0,neutral
366,2016-11-29T22:30:56.000Z,Temui Petani Tembakau Anggota DPR Ini Janji Kawal Penyelesaian RUU Pertembakauan,temu tani tembakau anggota DPR ini janji kawal selesai RUU tembakau,"meeting of tobacco farmers, members of this DPR promise to oversee the completion of the tobacco bill",0.0,0.874,0.126,0.3182,positive
369,2016-11-29T13:18:38.000Z,Sangat Free hatin Ruang Rapat Paripurna DPR RI,sangat free hatin ruang rapat paripurna DPR RI,"Very empty, idle, unproductive chamber, meeting room, gathering session, plenary session of the DPR RI",0.13,0.87,0.0,-0.2716,negative
401,2016-11-26T08:00:02.000Z,RUU CSR Wajib Atau Sukarela,RUU CSR wajib atau sukarela,mandatory or voluntary CSR bill,0.0,0.755,0.245,0.0772,positive
411,2016-11-25T07:29:04.000Z,DPR Gali Masukan Soal RUU CSR IkiBangsaku,DPR gali masuk soal RUU CSR ikibangsaku,DPR digs into the Ikibangsaku CSR bill,0.0,1.0,0.0,0.0,neutral
420,2016-11-24T02:49:08.000Z,mohon info bagaimana kemajuan RUU_Jasa_Konstruksi?,mohon info bagaimana maju ruu_jasa_konstruksi ?,demanding info delayed stalled advanced ruu_jasa_construction ?,0.583,0.208,0.208,-0.3818,negative
442,2016-11-22T13:48:28.000Z,Rapat Paripurna at,rapat paripurna at,meeting gathering plenary session at,0.0,1.0,0.0,0.0,neutral
472,2016-11-19T10:49:19.000Z,Reaksi Mbah Mijan Terkait Pengesahan UU Santet lewat,reaksi mbah mijan kait pengesahan UU santet lewat,Mbah Mijan's reaction regarding the passing of the black magic law,0.0,1.0,0.0,0.0,neutral
494,2016-11-17T23:15:00.000Z,Formappi Fraksi Nasdem Paling Sering Bolos,formappi partai nasdem paling sering bolos,formappi par disgusting worthless shameful trash nasdem most often truant absent negligent skip duty irresponsible lazy,0.575,0.425,0.0,-0.9313,negative
523,2016-11-16T13:54:33.000Z,Pemerintah dan DPR RI sepakat menetapkan batas waktu penyelesaian pembahasan Revisi Undang undang Pemilu RUU,pemerintah dan DPR RI sepakat tetap batas waktu selesai bahas revisi undang undang pemilu RUU,The government and the Indonesian House of Representatives have agreed to set a time limit for discussing the revision of the electoral law bill,0.0,0.913,0.087,0.2732,positive
531,2016-11-16T09:27:15.000Z,DPR Komitmen Percepat Pembahasan RUU,DPR komitmen cepat bahas RUU,DPR commits to quickly discussing the bill,0.0,0.845,0.155,0.0258,neutral
552,2016-11-15T08:34:32.000Z,Reses Wakil Rakyat Dapil Lampung I Ahmad Muzani,reses wakil rakyat dapil lampung i ahmad muzani,constituency outreach service community visit representatives legislators officials for the Lampung electoral district i ahmad muzani,0.0,0.87,0.13,0.2732,positive
565,2016-11-14T04:54:33.000Z,Reses anggota MS II tahun Sidang bang kumpulkan kepala desa se kabupaten Sumbawa dorong desa mandiri,reses anggota MASIH II tahun sidang bang kumpul kepala desa se kabupaten sumbawa dorong desa mandiri,"Constituency Outreach Service Community Visit Members are still in the second year of Session Hearing Meeting, gathering of village heads throughout Sumbawa Regency to encourage independent villages",0.0,0.822,0.178,0.6597,positive
566,2016-11-14T02:55:32.000Z,RESES ANGGOTA DPR RI FRAKSI PDIP MARUARAR SIRAIT,RESES ANGGOTA DPR RI PARTAI PDIP MARUARAR SIRAIT,constituency outreach service community visit DPR RI members par disgusting worthless shameful trash Pdip Maruarar Sirait,0.403,0.508,0.089,-0.8126,negative
583,2016-11-09T08:28:55.000Z,Reses DPR RI Harus Lapor ke Fraksi Golkar Daerah,reses DPR RI harus lapor ke partai golkar daerah,Constituency Outreach Service Community Visit DPR RI must report to the disgusting worthless shameful trash Golkar region,0.386,0.528,0.085,-0.8126,negative
606,2016-11-07T12:55:43.000Z,Kesekian kalinya Dewan Perwakilan Rakyat Daerah DPRD Kabupaten Gresik menggelar rapat paripurna penyampaian,sekian kali dewan wakil rakyat daerah DPRD kabupaten gresik gelar rapat paripurna sampai,"Several times, the board of representatives, representatives, representatives of the regional DPRD of Gresik Regency held a plenary meeting gathering session until",0.0,1.0,0.0,0.0,neutral
681,2016-10-31T18:58:51.000Z,DPR targetkan UU Perbukuan Nnasional rampung Komisi X DPR RI menargetkan rancangan Undang Undang Sis RT,DPR target UU buku nnasional rampung komisi kali DPR RI target rancangan undang undang sis RT,DPR targets national book law finalized by commission times DPR RI targets draft law sis rt,0.0,1.0,0.0,0.0,neutral
690,2016-10-31T02:44:33.000Z,Untuk menangani sampah diperlukan perspektif kebangsaan yang holistik ta hanya oleh pemangku kebijakan tap,untuk tangan sampah perlu perspektif bangsa yang holistik ta hanya oleh mang kebijakan tap,"for trash, garbage, waste, a holistic national perspective is needed, but only by implementing tap policies",0.119,0.881,0.0,-0.2263,negative
