no,score_annotator 1,category_annotator 1,score_annotator 2,category_annotator 2,score_annotator 3,category_annotator 3,score_annotator 4,category_annotator 4,score_annotator 5,category_annotator 5
6885,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
7320,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral
360,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1514,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
4881,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral
8640,-1,Slightly Negative 	,-1,Slightly Negative,0,Neutral,-1,Slightly Negative,-1,Slightly Negative
2708,-2,Moderately Negative	,-2,Moderately Negative,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative
5669,-2,Moderately Negative	,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-1,Slightly Negative
1032,0,Neutral,0,Neutral,-1,Slightly Negative,0,Neutral,0,Neutral
829,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral
8247,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1121,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral
6841,-1,Slightly Negative,-1,Slightly Negative,0,Neutral,-1,Slightly Negative,-1,Slightly Negative
4742,0,Neutral,0,Neutral,-1,Slightly Negative,0,Neutral,0,Neutral
1406,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral
9339,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral
10642,-2,Moderately Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
1587,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
3461,-3,Very Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative
2162,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
10682,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative
5661,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2814,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
7441,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive
