no,timestamp,teks,teks_processed,sentiment,compound_score,dominant_topic,topic_probability
2,2016-12-30T06:30:36.000Z,Tertibkan Media Online DPR Pemerintah Jangan Sporadis Apalagi Selektif Hanya kepada Media yang Berseberangan,tertibkan media online DPR pemerintah jangan sporadis apalagi selektif hanya kepada media yang berseberangan,negative,-0.8627,2,0.7969
3,2016-12-30T04:48:35.000Z,harus dievaluasi lg kebijakan bebas visa trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI,harus dievaluasi lagi kebijakan bebas visa terutama untuk negara tiongkok pak ! ! bahaya tersembunyi martabat RI,negative,-0.8745,2,0.5191
4,2016-12-30T04:21:40.000Z,jangan ngambang aturan logis apa undang undang,jangan ngambang aturan logis apa undang undang,negative,-0.5267,6,0.6060
5,2016-12-30T02:36:13.000Z,Kebebasan bersuara berpendapat memang dijamin UU Namun kebebasan tersebut tdk harus kebablasan sehingga menabrak aturan aturan logis,kebebasan bersuara berpendapat memang dijamin UU tetapi kebebasan tersebut tidak harus kebablasan sehingga menabrak aturan aturan logis,negative,-0.6553,3,0.4323
6,2016-12-30T02:52:25.000Z,Anggota Komisi IX DPR Okky Asokawati Evaluasi dan Moratorium Kebijakan Bebas Visa,anggota komisi IX DPR okky asokawati evaluasi dan moratorium kebijakan bebas visa,negative,-0.3680,4,0.7222
8,2016-12-30T00:50:51.000Z,Wapres Minta Kebijakan Bebas Visa Dievaluasi csps policy,wapres meminta kebijakan bebas visa dievaluasi csps policy,negative,-0.5267,4,0.4996
20,2016-12-28T05:26:34.000Z,Ketua Panja RUU Revisi ITE TB Hasanuddin sampaikan muatan materi UU Perubahan UU ITE,ketua panja RUU revisi ITE TB hasanuddin sampaikan muatan materi UU perubahan UU ITE,negative,-0.7739,3,0.4559
28,2016-12-27T07:06:25.000Z,Berdasarkan Tatib DPR Pasal ayat hasil Reses tersebut dilaporkan secara tertulis oleh Anggota kepada Fraksi masing masing ResesDPR,berdasarkan tatib DPR pasal ayat hasil reses tersebut dilaporkan secara tertulis oleh anggota kepada fraksi masing masing resesdpr,negative,-0.2023,3,0.6109
31,2016-12-27T07:05:31.000Z,Pada Masa Reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR ResesDPR,pada masa reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR resesdpr,negative,-0.7184,3,0.3722
32,2016-12-27T07:05:16.000Z,Masa Reses sendiri tertuang dalam UU MD No dan Peraturan DPR No tentang Tata Tertib DPR ResesDPR,masa reses sendiri tertuang dalam UU MD no dan peraturan DPR no tentang tata tertib DPR resesdpr,negative,-0.8161,2,0.5282
