no,timestamp,teks,teks_processed,sentiment,compound_score,tokens_lda,teks_lda_clean
2,2016-12-30T06:30:36.000Z,Tertibkan Media Online DPR Pemerintah Jangan Sporadis Apalagi Selektif Hanya kepada Media yang Berseberangan,tertibkan media online DPR pemerintah jangan sporadis apalagi selektif hanya kepada media yang berseberangan,negative,-0.8627,"['tertibkan', 'media', 'online', 'pemerintah', 'sporadis', 'selektif', 'media', 'berseberangan']",tertibkan media online pemerintah sporadis selektif media berseberangan
3,2016-12-30T04:48:35.000Z,harus dievaluasi lg kebijakan bebas visa trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI,harus dievaluasi lagi kebijakan bebas visa terutama untuk negara tiongkok pak ! ! bahaya tersembunyi martabat RI,negative,-0.8745,"['dievaluasi', 'kebijakan', 'bebas', 'visa', 'negara', 'tiongkok', 'bahaya', 'tersembunyi', 'martabat']",dievaluasi kebijakan bebas visa negara tiongkok bahaya tersembunyi martabat
4,2016-12-30T04:21:40.000Z,jangan ngambang aturan logis apa undang undang,jangan ngambang aturan logis apa undang undang,negative,-0.5267,"['ngambang', 'aturan', 'logis', 'undang', 'undang']",ngambang aturan logis undang undang
5,2016-12-30T02:36:13.000Z,Kebebasan bersuara berpendapat memang dijamin UU Namun kebebasan tersebut tdk harus kebablasan sehingga menabrak aturan aturan logis,kebebasan bersuara berpendapat memang dijamin UU tetapi kebebasan tersebut tidak harus kebablasan sehingga menabrak aturan aturan logis,negative,-0.6553,"['kebebasan', 'bersuara', 'berpendapat', 'dijamin', 'kebebasan', 'kebablasan', 'menabrak', 'aturan', 'aturan', 'logis']",kebebasan bersuara berpendapat dijamin kebebasan kebablasan menabrak aturan aturan logis
6,2016-12-30T02:52:25.000Z,Anggota Komisi IX DPR Okky Asokawati Evaluasi dan Moratorium Kebijakan Bebas Visa,anggota komisi IX DPR okky asokawati evaluasi dan moratorium kebijakan bebas visa,negative,-0.368,"['komisi', 'okky', 'asokawati', 'evaluasi', 'moratorium', 'kebijakan', 'bebas', 'visa']",komisi okky asokawati evaluasi moratorium kebijakan bebas visa
8,2016-12-30T00:50:51.000Z,Wapres Minta Kebijakan Bebas Visa Dievaluasi csps policy,wapres meminta kebijakan bebas visa dievaluasi csps policy,negative,-0.5267,"['wapres', 'kebijakan', 'bebas', 'visa', 'dievaluasi', 'csps', 'policy']",wapres kebijakan bebas visa dievaluasi csps policy
20,2016-12-28T05:26:34.000Z,Ketua Panja RUU Revisi ITE TB Hasanuddin sampaikan muatan materi UU Perubahan UU ITE,ketua panja RUU revisi ITE TB hasanuddin sampaikan muatan materi UU perubahan UU ITE,negative,-0.7739,"['ketua', 'panja', 'revisi', 'ite', 'hasanuddin', 'muatan', 'materi', 'perubahan', 'ite']",ketua panja revisi ite hasanuddin muatan materi perubahan ite
28,2016-12-27T07:06:25.000Z,Berdasarkan Tatib DPR Pasal ayat hasil Reses tersebut dilaporkan secara tertulis oleh Anggota kepada Fraksi masing masing ResesDPR,berdasarkan tatib DPR pasal ayat hasil reses tersebut dilaporkan secara tertulis oleh anggota kepada fraksi masing masing resesdpr,negative,-0.2023,"['berdasarkan', 'tatib', 'pasal', 'ayat', 'hasil', 'reses', 'dilaporkan', 'tertulis', 'fraksi', 'resesdpr']",berdasarkan tatib pasal ayat hasil reses dilaporkan tertulis fraksi resesdpr
31,2016-12-27T07:05:31.000Z,Pada Masa Reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR ResesDPR,pada masa reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR resesdpr,negative,-0.7184,"['reses', 'melaksanakan', 'tugas', 'menyerap', 'aspirasi', 'masyarakat', 'terkait', 'pelaksanaan', 'fungsi', 'tugas', 'resesdpr']",reses melaksanakan tugas menyerap aspirasi masyarakat terkait pelaksanaan fungsi tugas resesdpr
32,2016-12-27T07:05:16.000Z,Masa Reses sendiri tertuang dalam UU MD No dan Peraturan DPR No tentang Tata Tertib DPR ResesDPR,masa reses sendiri tertuang dalam UU MD no dan peraturan DPR no tentang tata tertib DPR resesdpr,negative,-0.8161,"['reses', 'tertuang', 'peraturan', 'tata', 'tertib', 'resesdpr']",reses tertuang peraturan tata tertib resesdpr
33,2016-12-27T07:05:01.000Z,Masa Reses bukan berarti para Anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya ResesDPR,masa reses bukan berarti para anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya resesdpr,negative,-0.7891,"['reses', 'namuan', 'aktivitasnya', 'daerah', 'daerah', 'pemilihannya', 'resesdpr']",reses namuan aktivitasnya daerah daerah pemilihannya resesdpr
38,2016-12-27T03:09:09.000Z,Reses di Sinjai Anggota DPR RI Nasyid Umar Jemput Keluhan Warga,reses di sinjai anggota DPR RI nasyid umar jemput keluhan warga,negative,-0.6289,"['reses', 'sinjai', 'nasyid', 'umar', 'jemput', 'keluhan', 'warga']",reses sinjai nasyid umar jemput keluhan warga
43,2016-12-26T04:16:32.000Z,Ada misi Anggota DPR ketika masa reses Pertama untuk membangun akuntabilitas politik cc,ada misi anggota DPR ketika masa reses pertama untuk membangun akuntabilitas politik cc,negative,-0.2023,"['misi', 'reses', 'membangun', 'akuntabilitas', 'politik']",misi reses membangun akuntabilitas politik
44,2016-12-26T03:42:57.000Z,Siang teman teman Tgl Des Jan anggota melaksanakan reses Apa yg perlu kt ketahui sbg konstituen? cc,siang teman teman tanggal des jangan anggota melaksanakan reses apa yang perlu kita ketahui sebagai konstituen ? cc,negative,-0.6369,"['siang', 'teman', 'teman', 'tanggal', 'des', 'melaksanakan', 'reses', 'ketahui', 'konstituen']",siang teman teman tanggal des melaksanakan reses ketahui konstituen
46,2016-12-26T01:01:22.000Z,Terkait Kegiatan Reses Anggota DPR RI KPU dan Panwaslih Diuji Profesionalismenya,terkait kegiatan reses anggota DPR RI KPU dan panwaslih diuji profesionalismenya,negative,-0.6289,"['terkait', 'kegiatan', 'reses', 'kpu', 'panwaslih', 'diuji', 'profesionalismenya']",terkait kegiatan reses kpu panwaslih diuji profesionalismenya
48,2016-12-25T08:09:14.000Z,Temuan Komisi IX DPR RI Serbuan Buruh China Akibat Kebijakan Bebas Visa,temuan komisi IX DPR RI serbuan buruh china akibat kebijakan bebas visa,negative,-0.6289,"['temuan', 'komisi', 'serbuan', 'buruh', 'china', 'akibat', 'kebijakan', 'bebas', 'visa']",temuan komisi serbuan buruh china akibat kebijakan bebas visa
49,2016-12-25T01:14:32.000Z,kemankalian saat rakyat menjerit karena kebijakan eksekutip yang gila? dprkemana,kemankalian saat rakyat menjerit karena kebijakan eksekutip yang gila ? dprkemana,negative,-0.7184,"['kemankalian', 'rakyat', 'menjerit', 'kebijakan', 'eksekutip', 'gila', 'dprkemana']",kemankalian rakyat menjerit kebijakan eksekutip gila dprkemana
50,2016-12-24T13:54:06.000Z,Komisi IX Ketua Komisi IX DPR RI merekomendasikan kpd pem agar tinjau ulang kebijakan bebas visa,komisi IX ketua komisi IX DPR RI merekomendasikan kepada pem agar tinjau ulang kebijakan bebas visa,negative,-0.8268,"['komisi', 'ketua', 'komisi', 'merekomendasikan', 'pem', 'tinjau', 'ulang', 'kebijakan', 'bebas', 'visa']",komisi ketua komisi merekomendasikan pem tinjau ulang kebijakan bebas visa
53,2016-12-24T10:02:14.000Z,DPR Minta Pemerintah Evaluasi Kebijakan Bebas Visa Komisi IX DPR RI merekomendasikan kepada pemerintah untuk,DPR meminta pemerintah evaluasi kebijakan bebas visa komisi IX DPR RI merekomendasikan kepada pemerintah untuk,negative,-0.5413,"['pemerintah', 'evaluasi', 'kebijakan', 'bebas', 'visa', 'komisi', 'merekomendasikan', 'pemerintah']",pemerintah evaluasi kebijakan bebas visa komisi merekomendasikan pemerintah
60,2016-12-23T15:36:09.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut GoAceh,anggota DPR ini meminta kebijakan bebas visa dicabut goaceh,negative,-0.5267,"['kebijakan', 'bebas', 'visa', 'dicabut', 'goaceh']",kebijakan bebas visa dicabut goaceh
62,2016-12-23T14:45:13.000Z,Sudah seharusnya di tinjau ulang Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,sudah seharusnya di tinjau ulang anggota DPR ini meminta kebijakan bebas visa dicabut,negative,-0.5267,"['tinjau', 'ulang', 'kebijakan', 'bebas', 'visa', 'dicabut']",tinjau ulang kebijakan bebas visa dicabut
63,2016-12-23T14:32:35.000Z,Bikin Resah Masyarakat Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut GoAceh,bikin resah masyarakat anggota DPR ini meminta kebijakan bebas visa dicabut goaceh,negative,-0.8555,"['bikin', 'resah', 'masyarakat', 'kebijakan', 'bebas', 'visa', 'dicabut', 'goaceh']",bikin resah masyarakat kebijakan bebas visa dicabut goaceh
64,2016-12-23T11:54:13.000Z,Bikin Resah Masyarakat Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,bikin resah masyarakat anggota DPR ini meminta kebijakan bebas visa dicabut,negative,-0.8555,"['bikin', 'resah', 'masyarakat', 'kebijakan', 'bebas', 'visa', 'dicabut']",bikin resah masyarakat kebijakan bebas visa dicabut
71,2016-12-23T09:36:12.000Z,Bilal Ramadhan Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,bilal ramadhan anggota DPR ini meminta kebijakan bebas visa dicabut,negative,-0.5267,"['bilal', 'ramadhan', 'kebijakan', 'bebas', 'visa', 'dicabut']",bilal ramadhan kebijakan bebas visa dicabut
72,2016-12-23T09:33:08.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut ROL,anggota DPR ini meminta kebijakan bebas visa dicabut ROL,negative,-0.6289,"['kebijakan', 'bebas', 'visa', 'dicabut', 'rol']",kebijakan bebas visa dicabut rol
73,2016-12-23T09:31:25.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut info,anggota DPR ini meminta kebijakan bebas visa dicabut info,negative,-0.5267,"['kebijakan', 'bebas', 'visa', 'dicabut', 'info']",kebijakan bebas visa dicabut info
74,2016-12-23T09:31:11.000Z,republikaonline Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,republikaonline anggota DPR ini meminta kebijakan bebas visa dicabut,negative,-0.5267,"['republikaonline', 'kebijakan', 'bebas', 'visa', 'dicabut']",republikaonline kebijakan bebas visa dicabut
75,2016-12-23T09:29:07.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut News,anggota DPR ini meminta kebijakan bebas visa dicabut news,negative,-0.5267,"['kebijakan', 'bebas', 'visa', 'dicabut', 'news']",kebijakan bebas visa dicabut news
78,2016-12-23T06:02:31.000Z,Anggota DPR RI Gelar Reses di Desa Siberida Kecamatan Batang Gansal,anggota DPR RI gelar reses di desa siberida kecamatan batang gansal,negative,-0.516,"['gelar', 'reses', 'desa', 'siberida', 'kecamatan', 'batang', 'gansal']",gelar reses desa siberida kecamatan batang gansal
81,2016-12-22T13:53:37.000Z,JMR JAringRadio DPR RI Pemberdayaan ekonomi sangat penting u tekan terorisme bahkan kebijakan bebas Visa jg harus dihapus Cc,JMR jaringradio DPR RI pemberdayaan ekonomi sangat penting kamu tekan terorisme bahkan kebijakan bebas visa juga harus dihapus cc,negative,-0.9063,"['jmr', 'jaringradio', 'pemberdayaan', 'ekonomi', 'tekan', 'terorisme', 'kebijakan', 'bebas', 'visa', 'dihapus']",jmr jaringradio pemberdayaan ekonomi tekan terorisme kebijakan bebas visa dihapus
82,2016-12-22T08:16:25.000Z,Pemerintah Diminta Evaluasi Kebijakan Bebas Visa,pemerintah diminta evaluasi kebijakan bebas visa,negative,-0.6369,"['pemerintah', 'evaluasi', 'kebijakan', 'bebas', 'visa']",pemerintah evaluasi kebijakan bebas visa
89,2016-12-20T18:32:07.000Z,mengharukan wakil rakyat trlalu banyak waktunya utk update disosmed hampir ga ada waktu utk update aspirasi rakyat yg diwakilinya,mengharukan wakil rakyat terlalu banyak waktunya untuk update disosmed hampir tidak ada waktu untuk update aspirasi rakyat yang diwakilinya,negative,-0.9233,"['mengharukan', 'wakil', 'rakyat', 'update', 'disosmed', 'update', 'aspirasi', 'rakyat', 'diwakilinya']",mengharukan wakil rakyat update disosmed update aspirasi rakyat diwakilinya
90,2016-12-20T15:40:47.000Z,Anggota DPR menilai kebijakan bebas visa memicu banyaknya TKA yang bekerja secara ilegal,anggota DPR menilai kebijakan bebas visa memicu banyaknya TKA yang bekerja secara ilegal,negative,-0.7739,"['menilai', 'kebijakan', 'bebas', 'visa', 'memicu', 'banyaknya', 'tka', 'ilegal']",menilai kebijakan bebas visa memicu banyaknya tka ilegal
91,2016-12-20T12:22:48.000Z,DPR Desak Pemerintah Evaluasi Kebijakan Bebas Visa Wakil Ketua Komisi IX DPR RI Saleh Partaonan Daulay menilai,DPR desak pemerintah evaluasi kebijakan bebas visa wakil ketua komisi IX DPR RI saleh partaonan daulay menilai,negative,-0.8853,"['desak', 'pemerintah', 'evaluasi', 'kebijakan', 'bebas', 'visa', 'wakil', 'ketua', 'komisi', 'saleh', 'partaonan', 'daulay', 'menilai']",desak pemerintah evaluasi kebijakan bebas visa wakil ketua komisi saleh partaonan daulay menilai
92,2016-12-20T12:17:29.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi,kebijakan bebas visa dinilai perlu dievaluasi,negative,-0.3818,"['kebijakan', 'bebas', 'visa', 'dinilai', 'dievaluasi']",kebijakan bebas visa dinilai dievaluasi
93,2016-12-20T09:28:30.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi info,kebijakan bebas visa dinilai perlu dievaluasi info,negative,-0.3818,"['kebijakan', 'bebas', 'visa', 'dinilai', 'dievaluasi', 'info']",kebijakan bebas visa dinilai dievaluasi info
